Category: All categories

Month,gout: (Guadeloupe)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,23
2014-10,24
2014-11,34
2014-12,0
2015-01,20
2015-02,25
2015-03,0
2015-04,23
2015-05,0
2015-06,28
2015-07,0
2015-08,0
2015-09,29
2015-10,34
2015-11,27
2015-12,0
2016-01,28
2016-02,28
2016-03,0
2016-04,27
2016-05,34
2016-06,25
2016-07,33
2016-08,0
2016-09,32
2016-10,49
2016-11,0
2016-12,28
2017-01,37
2017-02,0
2017-03,0
2017-04,31
2017-05,35
2017-06,28
2017-07,0
2017-08,30
2017-09,22
2017-10,33
2017-11,37
2017-12,31
2018-01,37
2018-02,41
2018-03,33
2018-04,34
2018-05,38
2018-06,34
2018-07,26
2018-08,26
2018-09,34
2018-10,0
2018-11,37
2018-12,39
2019-01,30
2019-02,31
2019-03,0
2019-04,29
2019-05,27
2019-06,21
2019-07,23
2019-08,22
2019-09,28
2019-10,53
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,48
2020-04,0
2020-05,44
2020-06,0
2020-07,0
2020-08,46
2020-09,44
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,44
2021-06,0
2021-07,57
2021-08,100
2021-09,0
2021-10,0
2021-11,49
2021-12,0
2022-01,50
2022-02,49
2022-03,29
2022-04,45
2022-05,36
2022-06,38
2022-07,36
2022-08,27
2022-09,33
2022-10,57
2022-11,36
2022-12,0
2023-01,0
2023-02,31
2023-03,48
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,41
2023-10,47
2023-11,44
2023-12,34
2024-01,0
2024-02,0
2024-03,0
2024-04,18
