Category: All categories

Month,gout: (Greece)
2014-01,38
2014-02,0
2014-03,21
2014-04,0
2014-05,37
2014-06,25
2014-07,0
2014-08,33
2014-09,32
2014-10,33
2014-11,43
2014-12,36
2015-01,34
2015-02,31
2015-03,39
2015-04,0
2015-05,27
2015-06,48
2015-07,40
2015-08,29
2015-09,40
2015-10,42
2015-11,30
2015-12,50
2016-01,30
2016-02,30
2016-03,30
2016-04,55
2016-05,53
2016-06,42
2016-07,57
2016-08,65
2016-09,41
2016-10,32
2016-11,48
2016-12,24
2017-01,42
2017-02,28
2017-03,43
2017-04,49
2017-05,41
2017-06,45
2017-07,55
2017-08,64
2017-09,70
2017-10,33
2017-11,38
2017-12,56
2018-01,53
2018-02,41
2018-03,69
2018-04,70
2018-05,54
2018-06,76
2018-07,69
2018-08,66
2018-09,67
2018-10,54
2018-11,48
2018-12,50
2019-01,48
2019-02,62
2019-03,62
2019-04,35
2019-05,52
2019-06,49
2019-07,87
2019-08,70
2019-09,71
2019-10,40
2019-11,40
2019-12,63
2020-01,53
2020-02,46
2020-03,41
2020-04,44
2020-05,53
2020-06,34
2020-07,56
2020-08,55
2020-09,50
2020-10,48
2020-11,43
2020-12,49
2021-01,59
2021-02,35
2021-03,45
2021-04,44
2021-05,46
2021-06,57
2021-07,67
2021-08,82
2021-09,44
2021-10,54
2021-11,47
2021-12,45
2022-01,33
2022-02,50
2022-03,48
2022-04,56
2022-05,65
2022-06,69
2022-07,77
2022-08,100
2022-09,71
2022-10,59
2022-11,46
2022-12,51
2023-01,34
2023-02,35
2023-03,40
2023-04,54
2023-05,55
2023-06,79
2023-07,81
2023-08,95
2023-09,82
2023-10,52
2023-11,51
2023-12,55
2024-01,52
2024-02,54
2024-03,67
2024-04,41
