Category: All categories

Month,gout: (Hong Kong)
2014-01,65
2014-02,61
2014-03,70
2014-04,92
2014-05,72
2014-06,83
2014-07,77
2014-08,65
2014-09,90
2014-10,67
2014-11,84
2014-12,66
2015-01,73
2015-02,82
2015-03,69
2015-04,68
2015-05,82
2015-06,76
2015-07,73
2015-08,62
2015-09,69
2015-10,67
2015-11,75
2015-12,64
2016-01,84
2016-02,62
2016-03,70
2016-04,81
2016-05,63
2016-06,76
2016-07,72
2016-08,94
2016-09,84
2016-10,82
2016-11,79
2016-12,70
2017-01,0
2017-02,49
2017-03,75
2017-04,84
2017-05,81
2017-06,69
2017-07,81
2017-08,86
2017-09,80
2017-10,84
2017-11,78
2017-12,49
2018-01,57
2018-02,76
2018-03,76
2018-04,71
2018-05,79
2018-06,69
2018-07,67
2018-08,78
2018-09,73
2018-10,74
2018-11,87
2018-12,75
2019-01,99
2019-02,81
2019-03,81
2019-04,71
2019-05,78
2019-06,64
2019-07,86
2019-08,85
2019-09,77
2019-10,70
2019-11,59
2019-12,72
2020-01,71
2020-02,57
2020-03,65
2020-04,76
2020-05,77
2020-06,82
2020-07,62
2020-08,80
2020-09,86
2020-10,100
2020-11,93
2020-12,81
2021-01,67
2021-02,78
2021-03,82
2021-04,89
2021-05,88
2021-06,68
2021-07,64
2021-08,67
2021-09,69
2021-10,68
2021-11,89
2021-12,78
2022-01,70
2022-02,56
2022-03,70
2022-04,70
2022-05,80
2022-06,74
2022-07,79
2022-08,67
2022-09,69
2022-10,60
2022-11,68
2022-12,54
2023-01,60
2023-02,76
2023-03,91
2023-04,93
2023-05,83
2023-06,94
2023-07,70
2023-08,78
2023-09,89
2023-10,80
2023-11,88
2023-12,71
2024-01,95
2024-02,73
2024-03,82
2024-04,85
