Category: All categories

Month,gout: (Israel)
2014-01,49
2014-02,70
2014-03,51
2014-04,63
2014-05,65
2014-06,68
2014-07,43
2014-08,45
2014-09,66
2014-10,52
2014-11,45
2014-12,43
2015-01,29
2015-02,47
2015-03,44
2015-04,50
2015-05,64
2015-06,69
2015-07,53
2015-08,39
2015-09,39
2015-10,44
2015-11,32
2015-12,41
2016-01,67
2016-02,40
2016-03,50
2016-04,64
2016-05,74
2016-06,62
2016-07,65
2016-08,37
2016-09,58
2016-10,100
2016-11,78
2016-12,56
2017-01,55
2017-02,47
2017-03,50
2017-04,43
2017-05,50
2017-06,38
2017-07,44
2017-08,38
2017-09,68
2017-10,29
2017-11,47
2017-12,58
2018-01,47
2018-02,52
2018-03,52
2018-04,54
2018-05,71
2018-06,56
2018-07,70
2018-08,60
2018-09,65
2018-10,78
2018-11,64
2018-12,59
2019-01,42
2019-02,65
2019-03,58
2019-04,54
2019-05,65
2019-06,67
2019-07,69
2019-08,54
2019-09,57
2019-10,98
2019-11,41
2019-12,55
2020-01,58
2020-02,68
2020-03,60
2020-04,60
2020-05,82
2020-06,56
2020-07,81
2020-08,81
2020-09,51
2020-10,76
2020-11,84
2020-12,35
2021-01,58
2021-02,60
2021-03,31
2021-04,86
2021-05,52
2021-06,68
2021-07,57
2021-08,63
2021-09,71
2021-10,54
2021-11,59
2021-12,64
2022-01,58
2022-02,67
2022-03,51
2022-04,82
2022-05,83
2022-06,73
2022-07,76
2022-08,65
2022-09,68
2022-10,78
2022-11,54
2022-12,68
2023-01,72
2023-02,81
2023-03,96
2023-04,60
2023-05,73
2023-06,80
2023-07,92
2023-08,60
2023-09,63
2023-10,67
2023-11,39
2023-12,56
2024-01,55
2024-02,65
2024-03,53
2024-04,43
