Category: All categories

Month,gout: (Iraq)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,33
2015-10,0
2015-11,44
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,27
2016-09,0
2016-10,0
2016-11,32
2016-12,0
2017-01,38
2017-02,0
2017-03,43
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,39
2017-11,44
2017-12,50
2018-01,0
2018-02,43
2018-03,0
2018-04,49
2018-05,0
2018-06,0
2018-07,0
2018-08,37
2018-09,0
2018-10,50
2018-11,46
2018-12,74
2019-01,72
2019-02,48
2019-03,0
2019-04,58
2019-05,0
2019-06,43
2019-07,0
2019-08,42
2019-09,0
2019-10,56
2019-11,65
2019-12,40
2020-01,0
2020-02,50
2020-03,0
2020-04,46
2020-05,59
2020-06,69
2020-07,56
2020-08,60
2020-09,0
2020-10,56
2020-11,49
2020-12,57
2021-01,63
2021-02,77
2021-03,63
2021-04,41
2021-05,63
2021-06,97
2021-07,51
2021-08,42
2021-09,46
2021-10,50
2021-11,48
2021-12,41
2022-01,41
2022-02,51
2022-03,44
2022-04,87
2022-05,73
2022-06,68
2022-07,48
2022-08,27
2022-09,62
2022-10,61
2022-11,58
2022-12,78
2023-01,60
2023-02,46
2023-03,69
2023-04,53
2023-05,100
2023-06,76
2023-07,51
2023-08,31
2023-09,52
2023-10,57
2023-11,46
2023-12,70
2024-01,71
2024-02,52
2024-03,92
2024-04,79
