Category: All categories

Month,gout: (Italy)
2014-01,31
2014-02,30
2014-03,26
2014-04,33
2014-05,36
2014-06,46
2014-07,36
2014-08,32
2014-09,40
2014-10,51
2014-11,50
2014-12,41
2015-01,50
2015-02,38
2015-03,43
2015-04,32
2015-05,36
2015-06,32
2015-07,45
2015-08,45
2015-09,44
2015-10,32
2015-11,33
2015-12,46
2016-01,45
2016-02,51
2016-03,47
2016-04,45
2016-05,37
2016-06,60
2016-07,42
2016-08,62
2016-09,61
2016-10,63
2016-11,74
2016-12,57
2017-01,52
2017-02,55
2017-03,42
2017-04,58
2017-05,38
2017-06,37
2017-07,43
2017-08,54
2017-09,52
2017-10,44
2017-11,39
2017-12,53
2018-01,52
2018-02,48
2018-03,46
2018-04,57
2018-05,60
2018-06,49
2018-07,65
2018-08,69
2018-09,53
2018-10,59
2018-11,32
2018-12,49
2019-01,51
2019-02,63
2019-03,59
2019-04,43
2019-05,62
2019-06,72
2019-07,68
2019-08,74
2019-09,64
2019-10,54
2019-11,41
2019-12,52
2020-01,50
2020-02,46
2020-03,34
2020-04,48
2020-05,35
2020-06,49
2020-07,48
2020-08,56
2020-09,41
2020-10,34
2020-11,38
2020-12,43
2021-01,41
2021-02,33
2021-03,30
2021-04,36
2021-05,36
2021-06,51
2021-07,70
2021-08,58
2021-09,53
2021-10,50
2021-11,52
2021-12,49
2022-01,53
2022-02,46
2022-03,40
2022-04,60
2022-05,54
2022-06,84
2022-07,74
2022-08,84
2022-09,64
2022-10,64
2022-11,68
2022-12,70
2023-01,62
2023-02,58
2023-03,52
2023-04,73
2023-05,68
2023-06,70
2023-07,74
2023-08,90
2023-09,73
2023-10,59
2023-11,53
2023-12,75
2024-01,68
2024-02,67
2024-03,100
2024-04,82
