Category: All categories

Month,gout: (Jamaica)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,75
2014-12,86
2015-01,0
2015-02,67
2015-03,0
2015-04,0
2015-05,0
2015-06,64
2015-07,0
2015-08,0
2015-09,55
2015-10,74
2015-11,0
2015-12,59
2016-01,0
2016-02,83
2016-03,62
2016-04,66
2016-05,51
2016-06,55
2016-07,0
2016-08,0
2016-09,55
2016-10,0
2016-11,62
2016-12,54
2017-01,0
2017-02,0
2017-03,55
2017-04,0
2017-05,0
2017-06,99
2017-07,0
2017-08,0
2017-09,53
2017-10,66
2017-11,53
2017-12,51
2018-01,0
2018-02,59
2018-03,93
2018-04,0
2018-05,51
2018-06,58
2018-07,0
2018-08,0
2018-09,83
2018-10,0
2018-11,52
2018-12,85
2019-01,0
2019-02,0
2019-03,100
2019-04,0
2019-05,71
2019-06,64
2019-07,0
2019-08,67
2019-09,73
2019-10,54
2019-11,56
2019-12,0
2020-01,63
2020-02,0
2020-03,94
2020-04,86
2020-05,71
2020-06,62
2020-07,46
2020-08,44
2020-09,52
2020-10,49
2020-11,62
2020-12,56
2021-01,53
2021-02,46
2021-03,39
2021-04,45
2021-05,0
2021-06,46
2021-07,0
2021-08,37
2021-09,41
2021-10,0
2021-11,0
2021-12,55
2022-01,54
2022-02,48
2022-03,59
2022-04,67
2022-05,71
2022-06,80
2022-07,77
2022-08,42
2022-09,71
2022-10,50
2022-11,65
2022-12,65
2023-01,60
2023-02,65
2023-03,48
2023-04,40
2023-05,59
2023-06,55
2023-07,44
2023-08,68
2023-09,48
2023-10,65
2023-11,35
2023-12,54
2024-01,34
2024-02,34
2024-03,61
2024-04,40
