Category: All categories

Month,gout: (Jordan)
2014-01,0
2014-02,0
2014-03,0
2014-04,49
2014-05,56
2014-06,0
2014-07,0
2014-08,39
2014-09,0
2014-10,0
2014-11,0
2014-12,38
2015-01,0
2015-02,0
2015-03,40
2015-04,0
2015-05,38
2015-06,0
2015-07,44
2015-08,0
2015-09,0
2015-10,44
2015-11,43
2015-12,54
2016-01,54
2016-02,0
2016-03,34
2016-04,0
2016-05,76
2016-06,49
2016-07,0
2016-08,41
2016-09,38
2016-10,42
2016-11,0
2016-12,0
2017-01,0
2017-02,35
2017-03,35
2017-04,53
2017-05,65
2017-06,54
2017-07,77
2017-08,60
2017-09,0
2017-10,74
2017-11,45
2017-12,87
2018-01,0
2018-02,0
2018-03,60
2018-04,75
2018-05,79
2018-06,54
2018-07,61
2018-08,0
2018-09,0
2018-10,0
2018-11,59
2018-12,86
2019-01,45
2019-02,50
2019-03,62
2019-04,0
2019-05,64
2019-06,47
2019-07,46
2019-08,65
2019-09,0
2019-10,75
2019-11,77
2019-12,60
2020-01,87
2020-02,92
2020-03,57
2020-04,72
2020-05,72
2020-06,73
2020-07,0
2020-08,57
2020-09,79
2020-10,57
2020-11,37
2020-12,41
2021-01,52
2021-02,41
2021-03,0
2021-04,66
2021-05,90
2021-06,65
2021-07,45
2021-08,56
2021-09,94
2021-10,42
2021-11,77
2021-12,59
2022-01,76
2022-02,58
2022-03,69
2022-04,54
2022-05,81
2022-06,49
2022-07,59
2022-08,59
2022-09,65
2022-10,70
2022-11,70
2022-12,69
2023-01,57
2023-02,64
2023-03,37
2023-04,60
2023-05,77
2023-06,62
2023-07,74
2023-08,100
2023-09,69
2023-10,73
2023-11,81
2023-12,48
2024-01,54
2024-02,45
2024-03,67
2024-04,92
