Category: All categories

Month,gout: (Japan)
2014-01,51
2014-02,69
2014-03,82
2014-04,82
2014-05,90
2014-06,69
2014-07,79
2014-08,66
2014-09,62
2014-10,100
2014-11,83
2014-12,69
2015-01,72
2015-02,46
2015-03,80
2015-04,65
2015-05,71
2015-06,86
2015-07,72
2015-08,58
2015-09,68
2015-10,66
2015-11,75
2015-12,62
2016-01,85
2016-02,71
2016-03,79
2016-04,71
2016-05,74
2016-06,75
2016-07,68
2016-08,57
2016-09,65
2016-10,59
2016-11,74
2016-12,71
2017-01,66
2017-02,72
2017-03,61
2017-04,82
2017-05,83
2017-06,71
2017-07,65
2017-08,65
2017-09,57
2017-10,76
2017-11,89
2017-12,62
2018-01,92
2018-02,61
2018-03,75
2018-04,75
2018-05,77
2018-06,74
2018-07,80
2018-08,69
2018-09,68
2018-10,92
2018-11,95
2018-12,85
2019-01,72
2019-02,81
2019-03,73
2019-04,82
2019-05,84
2019-06,83
2019-07,56
2019-08,67
2019-09,71
2019-10,94
2019-11,86
2019-12,62
2020-01,72
2020-02,63
2020-03,56
2020-04,48
2020-05,53
2020-06,70
2020-07,77
2020-08,56
2020-09,52
2020-10,53
2020-11,60
2020-12,61
2021-01,44
2021-02,58
2021-03,57
2021-04,68
2021-05,66
2021-06,66
2021-07,59
2021-08,45
2021-09,53
2021-10,61
2021-11,57
2021-12,45
2022-01,72
2022-02,53
2022-03,59
2022-04,68
2022-05,71
2022-06,69
2022-07,63
2022-08,66
2022-09,67
2022-10,69
2022-11,72
2022-12,73
2023-01,67
2023-02,65
2023-03,79
2023-04,78
2023-05,86
2023-06,86
2023-07,79
2023-08,76
2023-09,86
2023-10,74
2023-11,78
2023-12,77
2024-01,76
2024-02,73
2024-03,91
2024-04,84
