Category: All categories

Month,gout: (Kenya)
2014-01,65
2014-02,81
2014-03,100
2014-04,79
2014-05,55
2014-06,48
2014-07,72
2014-08,67
2014-09,92
2014-10,81
2014-11,55
2014-12,58
2015-01,45
2015-02,66
2015-03,73
2015-04,70
2015-05,72
2015-06,64
2015-07,67
2015-08,40
2015-09,46
2015-10,56
2015-11,44
2015-12,45
2016-01,68
2016-02,54
2016-03,43
2016-04,36
2016-05,59
2016-06,51
2016-07,39
2016-08,37
2016-09,53
2016-10,74
2016-11,55
2016-12,35
2017-01,43
2017-02,41
2017-03,49
2017-04,44
2017-05,70
2017-06,50
2017-07,50
2017-08,39
2017-09,36
2017-10,66
2017-11,34
2017-12,33
2018-01,63
2018-02,53
2018-03,53
2018-04,41
2018-05,42
2018-06,51
2018-07,40
2018-08,54
2018-09,42
2018-10,35
2018-11,52
2018-12,52
2019-01,45
2019-02,54
2019-03,62
2019-04,47
2019-05,47
2019-06,55
2019-07,75
2019-08,55
2019-09,69
2019-10,60
2019-11,50
2019-12,52
2020-01,76
2020-02,60
2020-03,67
2020-04,71
2020-05,56
2020-06,58
2020-07,50
2020-08,55
2020-09,56
2020-10,56
2020-11,56
2020-12,46
2021-01,70
2021-02,72
2021-03,53
2021-04,57
2021-05,56
2021-06,58
2021-07,49
2021-08,44
2021-09,53
2021-10,56
2021-11,64
2021-12,48
2022-01,67
2022-02,69
2022-03,83
2022-04,77
2022-05,95
2022-06,76
2022-07,85
2022-08,53
2022-09,65
2022-10,66
2022-11,77
2022-12,81
2023-01,67
2023-02,77
2023-03,77
2023-04,82
2023-05,73
2023-06,97
2023-07,67
2023-08,66
2023-09,66
2023-10,72
2023-11,72
2023-12,80
2024-01,82
2024-02,74
2024-03,66
2024-04,49
