Category: All categories

Month,gout: (Kuwait)
2014-01,73
2014-02,0
2014-03,81
2014-04,68
2014-05,0
2014-06,0
2014-07,0
2014-08,67
2014-09,70
2014-10,72
2014-11,0
2014-12,0
2015-01,54
2015-02,0
2015-03,62
2015-04,64
2015-05,0
2015-06,53
2015-07,0
2015-08,64
2015-09,53
2015-10,65
2015-11,52
2015-12,70
2016-01,45
2016-02,74
2016-03,47
2016-04,81
2016-05,91
2016-06,46
2016-07,60
2016-08,0
2016-09,0
2016-10,0
2016-11,57
2016-12,47
2017-01,55
2017-02,66
2017-03,45
2017-04,77
2017-05,48
2017-06,53
2017-07,45
2017-08,0
2017-09,55
2017-10,0
2017-11,100
2017-12,51
2018-01,0
2018-02,0
2018-03,52
2018-04,68
2018-05,43
2018-06,58
2018-07,42
2018-08,0
2018-09,67
2018-10,77
2018-11,41
2018-12,62
2019-01,87
2019-02,63
2019-03,65
2019-04,46
2019-05,0
2019-06,0
2019-07,55
2019-08,83
2019-09,66
2019-10,72
2019-11,68
2019-12,49
2020-01,43
2020-02,85
2020-03,64
2020-04,55
2020-05,75
2020-06,75
2020-07,90
2020-08,85
2020-09,39
2020-10,80
2020-11,47
2020-12,51
2021-01,43
2021-02,52
2021-03,64
2021-04,67
2021-05,65
2021-06,59
2021-07,57
2021-08,56
2021-09,73
2021-10,47
2021-11,72
2021-12,76
2022-01,79
2022-02,38
2022-03,67
2022-04,74
2022-05,65
2022-06,60
2022-07,71
2022-08,74
2022-09,80
2022-10,82
2022-11,80
2022-12,62
2023-01,57
2023-02,74
2023-03,59
2023-04,77
2023-05,97
2023-06,71
2023-07,64
2023-08,50
2023-09,62
2023-10,61
2023-11,49
2023-12,66
2024-01,57
2024-02,47
2024-03,73
2024-04,36
