Category: All categories

Month,gout: (Sri Lanka)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,67
2014-10,0
2014-11,100
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,55
2015-08,0
2015-09,53
2015-10,50
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,53
2016-04,0
2016-05,63
2016-06,57
2016-07,0
2016-08,49
2016-09,0
2016-10,0
2016-11,50
2016-12,45
2017-01,50
2017-02,57
2017-03,0
2017-04,73
2017-05,46
2017-06,0
2017-07,0
2017-08,49
2017-09,0
2017-10,0
2017-11,41
2017-12,0
2018-01,41
2018-02,51
2018-03,47
2018-04,46
2018-05,41
2018-06,44
2018-07,49
2018-08,66
2018-09,54
2018-10,59
2018-11,54
2018-12,46
2019-01,0
2019-02,0
2019-03,50
2019-04,0
2019-05,57
2019-06,44
2019-07,41
2019-08,0
2019-09,46
2019-10,53
2019-11,58
2019-12,42
2020-01,90
2020-02,0
2020-03,64
2020-04,54
2020-05,36
2020-06,53
2020-07,64
2020-08,69
2020-09,65
2020-10,56
2020-11,0
2020-12,37
2021-01,0
2021-02,72
2021-03,52
2021-04,42
2021-05,37
2021-06,0
2021-07,39
2021-08,58
2021-09,35
2021-10,34
2021-11,0
2021-12,46
2022-01,61
2022-02,57
2022-03,59
2022-04,46
2022-05,35
2022-06,47
2022-07,47
2022-08,48
2022-09,42
2022-10,40
2022-11,47
2022-12,59
2023-01,75
2023-02,58
2023-03,64
2023-04,67
2023-05,57
2023-06,36
2023-07,36
2023-08,77
2023-09,28
2023-10,52
2023-11,56
2023-12,47
2024-01,37
2024-02,39
2024-03,56
2024-04,86
