Category: All categories

Month,gout: (Morocco)
2014-01,41
2014-02,34
2014-03,40
2014-04,37
2014-05,36
2014-06,32
2014-07,34
2014-08,34
2014-09,32
2014-10,33
2014-11,37
2014-12,43
2015-01,33
2015-02,34
2015-03,36
2015-04,31
2015-05,34
2015-06,32
2015-07,36
2015-08,36
2015-09,30
2015-10,33
2015-11,31
2015-12,36
2016-01,36
2016-02,39
2016-03,36
2016-04,33
2016-05,32
2016-06,31
2016-07,41
2016-08,31
2016-09,37
2016-10,31
2016-11,42
2016-12,31
2017-01,30
2017-02,40
2017-03,43
2017-04,27
2017-05,39
2017-06,42
2017-07,37
2017-08,47
2017-09,45
2017-10,35
2017-11,47
2017-12,40
2018-01,44
2018-02,45
2018-03,50
2018-04,42
2018-05,38
2018-06,50
2018-07,46
2018-08,47
2018-09,47
2018-10,47
2018-11,42
2018-12,43
2019-01,50
2019-02,51
2019-03,50
2019-04,51
2019-05,50
2019-06,42
2019-07,47
2019-08,45
2019-09,46
2019-10,52
2019-11,42
2019-12,49
2020-01,50
2020-02,49
2020-03,56
2020-04,47
2020-05,60
2020-06,58
2020-07,57
2020-08,63
2020-09,66
2020-10,77
2020-11,84
2020-12,71
2021-01,59
2021-02,52
2021-03,48
2021-04,61
2021-05,50
2021-06,54
2021-07,74
2021-08,100
2021-09,73
2021-10,52
2021-11,67
2021-12,53
2022-01,68
2022-02,51
2022-03,51
2022-04,50
2022-05,59
2022-06,57
2022-07,59
2022-08,56
2022-09,48
2022-10,59
2022-11,61
2022-12,54
2023-01,49
2023-02,51
2023-03,52
2023-04,43
2023-05,49
2023-06,45
2023-07,53
2023-08,71
2023-09,50
2023-10,55
2023-11,53
2023-12,56
2024-01,45
2024-02,53
2024-03,49
2024-04,51
