Category: All categories

Month,gout: (Martinique)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,28
2014-12,46
2015-01,0
2015-02,57
2015-03,37
2015-04,0
2015-05,41
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,37
2015-11,40
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,42
2016-05,34
2016-06,0
2016-07,43
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,39
2017-04,0
2017-05,40
2017-06,0
2017-07,38
2017-08,39
2017-09,44
2017-10,41
2017-11,48
2017-12,0
2018-01,37
2018-02,35
2018-03,50
2018-04,0
2018-05,54
2018-06,39
2018-07,0
2018-08,0
2018-09,44
2018-10,63
2018-11,59
2018-12,63
2019-01,58
2019-02,82
2019-03,56
2019-04,35
2019-05,0
2019-06,0
2019-07,37
2019-08,0
2019-09,35
2019-10,34
2019-11,36
2019-12,34
2020-01,50
2020-02,48
2020-03,56
2020-04,69
2020-05,0
2020-06,32
2020-07,52
2020-08,93
2020-09,85
2020-10,57
2020-11,71
2020-12,0
2021-01,68
2021-02,38
2021-03,39
2021-04,76
2021-05,39
2021-06,39
2021-07,70
2021-08,63
2021-09,45
2021-10,43
2021-11,0
2021-12,50
2022-01,47
2022-02,57
2022-03,76
2022-04,52
2022-05,0
2022-06,60
2022-07,64
2022-08,56
2022-09,56
2022-10,100
2022-11,87
2022-12,83
2023-01,68
2023-02,50
2023-03,64
2023-04,0
2023-05,73
2023-06,0
2023-07,74
2023-08,0
2023-09,67
2023-10,76
2023-11,51
2023-12,63
2024-01,69
2024-02,68
2024-03,0
2024-04,34
