Category: All categories

Month,gout: (Nigeria)
2014-01,63
2014-02,94
2014-03,61
2014-04,49
2014-05,34
2014-06,60
2014-07,54
2014-08,48
2014-09,66
2014-10,64
2014-11,46
2014-12,55
2015-01,45
2015-02,50
2015-03,48
2015-04,53
2015-05,50
2015-06,50
2015-07,41
2015-08,56
2015-09,49
2015-10,47
2015-11,47
2015-12,39
2016-01,33
2016-02,40
2016-03,46
2016-04,53
2016-05,46
2016-06,56
2016-07,39
2016-08,31
2016-09,32
2016-10,47
2016-11,34
2016-12,37
2017-01,35
2017-02,25
2017-03,39
2017-04,37
2017-05,48
2017-06,42
2017-07,43
2017-08,47
2017-09,29
2017-10,44
2017-11,40
2017-12,28
2018-01,36
2018-02,43
2018-03,36
2018-04,46
2018-05,42
2018-06,41
2018-07,31
2018-08,44
2018-09,33
2018-10,37
2018-11,33
2018-12,28
2019-01,27
2019-02,48
2019-03,45
2019-04,48
2019-05,41
2019-06,49
2019-07,42
2019-08,56
2019-09,48
2019-10,47
2019-11,46
2019-12,45
2020-01,48
2020-02,42
2020-03,48
2020-04,43
2020-05,40
2020-06,31
2020-07,45
2020-08,39
2020-09,37
2020-10,36
2020-11,32
2020-12,39
2021-01,32
2021-02,46
2021-03,51
2021-04,100
2021-05,69
2021-06,84
2021-07,89
2021-08,72
2021-09,54
2021-10,52
2021-11,56
2021-12,45
2022-01,54
2022-02,45
2022-03,51
2022-04,48
2022-05,48
2022-06,46
2022-07,55
2022-08,55
2022-09,57
2022-10,66
2022-11,61
2022-12,50
2023-01,50
2023-02,53
2023-03,46
2023-04,56
2023-05,61
2023-06,64
2023-07,56
2023-08,42
2023-09,63
2023-10,47
2023-11,56
2023-12,44
2024-01,49
2024-02,55
2024-03,49
2024-04,48
