Category: All categories

Month,gout: (New Zealand)
2014-01,72
2014-02,60
2014-03,62
2014-04,71
2014-05,63
2014-06,54
2014-07,50
2014-08,61
2014-09,65
2014-10,76
2014-11,67
2014-12,69
2015-01,78
2015-02,68
2015-03,67
2015-04,79
2015-05,69
2015-06,69
2015-07,68
2015-08,64
2015-09,72
2015-10,64
2015-11,67
2015-12,76
2016-01,73
2016-02,68
2016-03,57
2016-04,51
2016-05,55
2016-06,52
2016-07,55
2016-08,51
2016-09,63
2016-10,65
2016-11,62
2016-12,63
2017-01,70
2017-02,71
2017-03,63
2017-04,60
2017-05,62
2017-06,56
2017-07,57
2017-08,64
2017-09,70
2017-10,73
2017-11,69
2017-12,81
2018-01,85
2018-02,73
2018-03,63
2018-04,64
2018-05,64
2018-06,63
2018-07,59
2018-08,68
2018-09,63
2018-10,75
2018-11,69
2018-12,74
2019-01,98
2019-02,75
2019-03,72
2019-04,58
2019-05,75
2019-06,61
2019-07,65
2019-08,70
2019-09,64
2019-10,78
2019-11,87
2019-12,83
2020-01,76
2020-02,75
2020-03,61
2020-04,68
2020-05,61
2020-06,65
2020-07,74
2020-08,67
2020-09,70
2020-10,82
2020-11,81
2020-12,89
2021-01,93
2021-02,75
2021-03,76
2021-04,79
2021-05,75
2021-06,67
2021-07,71
2021-08,69
2021-09,72
2021-10,76
2021-11,76
2021-12,90
2022-01,97
2022-02,73
2022-03,73
2022-04,64
2022-05,66
2022-06,74
2022-07,69
2022-08,75
2022-09,79
2022-10,79
2022-11,83
2022-12,77
2023-01,94
2023-02,76
2023-03,73
2023-04,75
2023-05,78
2023-06,71
2023-07,73
2023-08,78
2023-09,79
2023-10,77
2023-11,81
2023-12,89
2024-01,100
2024-02,91
2024-03,76
2024-04,85
