Category: All categories

Month,gout: (Pakistan)
2014-01,24
2014-02,32
2014-03,38
2014-04,45
2014-05,52
2014-06,47
2014-07,28
2014-08,28
2014-09,35
2014-10,36
2014-11,44
2014-12,35
2015-01,37
2015-02,34
2015-03,34
2015-04,49
2015-05,50
2015-06,49
2015-07,42
2015-08,45
2015-09,42
2015-10,54
2015-11,45
2015-12,42
2016-01,45
2016-02,34
2016-03,38
2016-04,45
2016-05,47
2016-06,42
2016-07,40
2016-08,41
2016-09,53
2016-10,44
2016-11,46
2016-12,37
2017-01,38
2017-02,37
2017-03,37
2017-04,57
2017-05,47
2017-06,44
2017-07,37
2017-08,47
2017-09,52
2017-10,68
2017-11,64
2017-12,46
2018-01,37
2018-02,52
2018-03,51
2018-04,59
2018-05,59
2018-06,36
2018-07,47
2018-08,67
2018-09,61
2018-10,62
2018-11,57
2018-12,47
2019-01,52
2019-02,57
2019-03,67
2019-04,64
2019-05,66
2019-06,49
2019-07,69
2019-08,64
2019-09,71
2019-10,78
2019-11,84
2019-12,52
2020-01,63
2020-02,62
2020-03,48
2020-04,67
2020-05,77
2020-06,64
2020-07,77
2020-08,70
2020-09,72
2020-10,86
2020-11,59
2020-12,49
2021-01,54
2021-02,68
2021-03,56
2021-04,60
2021-05,71
2021-06,74
2021-07,75
2021-08,77
2021-09,77
2021-10,71
2021-11,66
2021-12,53
2022-01,70
2022-02,78
2022-03,80
2022-04,76
2022-05,78
2022-06,100
2022-07,74
2022-08,73
2022-09,74
2022-10,80
2022-11,62
2022-12,61
2023-01,66
2023-02,69
2023-03,63
2023-04,60
2023-05,82
2023-06,68
2023-07,64
2023-08,71
2023-09,61
2023-10,64
2023-11,61
2023-12,60
2024-01,60
2024-02,60
2024-03,55
2024-04,59
