Category: All categories

Month,gout: (Portugal)
2014-01,0
2014-02,24
2014-03,0
2014-04,0
2014-05,0
2014-06,28
2014-07,0
2014-08,35
2014-09,26
2014-10,0
2014-11,29
2014-12,38
2015-01,0
2015-02,32
2015-03,30
2015-04,0
2015-05,37
2015-06,34
2015-07,51
2015-08,51
2015-09,27
2015-10,40
2015-11,32
2015-12,0
2016-01,45
2016-02,0
2016-03,55
2016-04,38
2016-05,33
2016-06,36
2016-07,37
2016-08,45
2016-09,27
2016-10,36
2016-11,35
2016-12,0
2017-01,34
2017-02,30
2017-03,45
2017-04,53
2017-05,37
2017-06,28
2017-07,48
2017-08,63
2017-09,64
2017-10,36
2017-11,31
2017-12,0
2018-01,50
2018-02,27
2018-03,42
2018-04,44
2018-05,56
2018-06,51
2018-07,41
2018-08,55
2018-09,33
2018-10,49
2018-11,29
2018-12,47
2019-01,37
2019-02,45
2019-03,54
2019-04,57
2019-05,53
2019-06,57
2019-07,62
2019-08,92
2019-09,58
2019-10,33
2019-11,25
2019-12,53
2020-01,28
2020-02,37
2020-03,40
2020-04,26
2020-05,38
2020-06,26
2020-07,49
2020-08,68
2020-09,32
2020-10,26
2020-11,37
2020-12,61
2021-01,34
2021-02,26
2021-03,32
2021-04,37
2021-05,35
2021-06,43
2021-07,51
2021-08,75
2021-09,42
2021-10,46
2021-11,31
2021-12,33
2022-01,29
2022-02,57
2022-03,38
2022-04,42
2022-05,45
2022-06,44
2022-07,54
2022-08,100
2022-09,56
2022-10,51
2022-11,47
2022-12,46
2023-01,39
2023-02,42
2023-03,40
2023-04,45
2023-05,62
2023-06,47
2023-07,57
2023-08,97
2023-09,73
2023-10,53
2023-11,55
2023-12,38
2024-01,52
2024-02,60
2024-03,39
2024-04,37
