Category: All categories

Month,gout: (Qatar)
2014-01,55
2014-02,60
2014-03,64
2014-04,85
2014-05,80
2014-06,0
2014-07,46
2014-08,0
2014-09,45
2014-10,66
2014-11,64
2014-12,0
2015-01,0
2015-02,57
2015-03,71
2015-04,47
2015-05,45
2015-06,56
2015-07,37
2015-08,81
2015-09,55
2015-10,70
2015-11,57
2015-12,65
2016-01,63
2016-02,62
2016-03,0
2016-04,50
2016-05,56
2016-06,45
2016-07,53
2016-08,55
2016-09,51
2016-10,63
2016-11,62
2016-12,36
2017-01,35
2017-02,49
2017-03,56
2017-04,55
2017-05,0
2017-06,38
2017-07,70
2017-08,64
2017-09,55
2017-10,51
2017-11,77
2017-12,73
2018-01,32
2018-02,48
2018-03,84
2018-04,0
2018-05,54
2018-06,49
2018-07,93
2018-08,55
2018-09,66
2018-10,72
2018-11,66
2018-12,50
2019-01,78
2019-02,45
2019-03,71
2019-04,72
2019-05,65
2019-06,77
2019-07,62
2019-08,54
2019-09,60
2019-10,57
2019-11,67
2019-12,58
2020-01,82
2020-02,74
2020-03,54
2020-04,68
2020-05,73
2020-06,69
2020-07,74
2020-08,57
2020-09,59
2020-10,90
2020-11,99
2020-12,47
2021-01,83
2021-02,53
2021-03,64
2021-04,63
2021-05,62
2021-06,70
2021-07,83
2021-08,73
2021-09,83
2021-10,71
2021-11,80
2021-12,69
2022-01,71
2022-02,65
2022-03,57
2022-04,100
2022-05,35
2022-06,83
2022-07,68
2022-08,64
2022-09,66
2022-10,65
2022-11,58
2022-12,71
2023-01,59
2023-02,70
2023-03,55
2023-04,66
2023-05,78
2023-06,79
2023-07,94
2023-08,52
2023-09,79
2023-10,58
2023-11,88
2023-12,62
2024-01,48
2024-02,59
2024-03,78
2024-04,43
