Category: All categories

Month,gout: (Romania)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,38
2014-06,56
2014-07,0
2014-08,51
2014-09,54
2014-10,52
2014-11,37
2014-12,49
2015-01,29
2015-02,30
2015-03,39
2015-04,59
2015-05,38
2015-06,40
2015-07,55
2015-08,0
2015-09,0
2015-10,32
2015-11,49
2015-12,0
2016-01,42
2016-02,39
2016-03,0
2016-04,42
2016-05,34
2016-06,0
2016-07,61
2016-08,56
2016-09,0
2016-10,0
2016-11,56
2016-12,41
2017-01,43
2017-02,0
2017-03,76
2017-04,51
2017-05,63
2017-06,58
2017-07,51
2017-08,42
2017-09,60
2017-10,35
2017-11,41
2017-12,50
2018-01,42
2018-02,44
2018-03,47
2018-04,0
2018-05,49
2018-06,54
2018-07,36
2018-08,0
2018-09,42
2018-10,48
2018-11,37
2018-12,52
2019-01,55
2019-02,0
2019-03,69
2019-04,60
2019-05,57
2019-06,47
2019-07,67
2019-08,46
2019-09,49
2019-10,35
2019-11,33
2019-12,62
2020-01,84
2020-02,55
2020-03,39
2020-04,68
2020-05,59
2020-06,47
2020-07,61
2020-08,32
2020-09,62
2020-10,44
2020-11,28
2020-12,40
2021-01,62
2021-02,30
2021-03,42
2021-04,42
2021-05,44
2021-06,66
2021-07,45
2021-08,58
2021-09,0
2021-10,74
2021-11,63
2021-12,59
2022-01,62
2022-02,78
2022-03,54
2022-04,55
2022-05,54
2022-06,51
2022-07,70
2022-08,57
2022-09,56
2022-10,59
2022-11,61
2022-12,53
2023-01,50
2023-02,62
2023-03,66
2023-04,65
2023-05,65
2023-06,68
2023-07,65
2023-08,63
2023-09,52
2023-10,59
2023-11,85
2023-12,66
2024-01,74
2024-02,49
2024-03,61
2024-04,100
