Category: All categories

Month,gout: (Russia)
2014-01,60
2014-02,0
2014-03,46
2014-04,55
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,38
2014-11,37
2014-12,0
2015-01,51
2015-02,51
2015-03,37
2015-04,33
2015-05,60
2015-06,48
2015-07,0
2015-08,0
2015-09,37
2015-10,34
2015-11,23
2015-12,40
2016-01,59
2016-02,26
2016-03,33
2016-04,40
2016-05,28
2016-06,0
2016-07,45
2016-08,0
2016-09,35
2016-10,33
2016-11,0
2016-12,38
2017-01,31
2017-02,26
2017-03,36
2017-04,33
2017-05,38
2017-06,0
2017-07,38
2017-08,27
2017-09,23
2017-10,32
2017-11,42
2017-12,29
2018-01,22
2018-02,21
2018-03,40
2018-04,34
2018-05,37
2018-06,42
2018-07,41
2018-08,44
2018-09,91
2018-10,54
2018-11,54
2018-12,80
2019-01,73
2019-02,61
2019-03,86
2019-04,79
2019-05,81
2019-06,92
2019-07,75
2019-08,56
2019-09,65
2019-10,61
2019-11,50
2019-12,61
2020-01,44
2020-02,56
2020-03,49
2020-04,62
2020-05,68
2020-06,28
2020-07,36
2020-08,0
2020-09,48
2020-10,40
2020-11,69
2020-12,46
2021-01,41
2021-02,33
2021-03,36
2021-04,60
2021-05,52
2021-06,50
2021-07,52
2021-08,39
2021-09,56
2021-10,43
2021-11,50
2021-12,83
2022-01,83
2022-02,86
2022-03,79
2022-04,79
2022-05,59
2022-06,80
2022-07,75
2022-08,58
2022-09,77
2022-10,73
2022-11,75
2022-12,83
2023-01,73
2023-02,49
2023-03,71
2023-04,78
2023-05,78
2023-06,78
2023-07,79
2023-08,64
2023-09,83
2023-10,80
2023-11,67
2023-12,82
2024-01,80
2024-02,75
2024-03,100
2024-04,98
