Category: All categories

Month,gout: (Senegal)
2014-01,0
2014-02,0
2014-03,0
2014-04,28
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,33
2015-01,31
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,24
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,27
2016-09,0
2016-10,0
2016-11,33
2016-12,0
2017-01,26
2017-02,0
2017-03,31
2017-04,34
2017-05,29
2017-06,29
2017-07,30
2017-08,32
2017-09,0
2017-10,0
2017-11,0
2017-12,27
2018-01,34
2018-02,33
2018-03,28
2018-04,0
2018-05,26
2018-06,32
2018-07,0
2018-08,26
2018-09,0
2018-10,30
2018-11,0
2018-12,0
2019-01,0
2019-02,30
2019-03,27
2019-04,0
2019-05,27
2019-06,26
2019-07,0
2019-08,0
2019-09,0
2019-10,25
2019-11,23
2019-12,35
2020-01,25
2020-02,0
2020-03,33
2020-04,33
2020-05,32
2020-06,43
2020-07,67
2020-08,49
2020-09,32
2020-10,34
2020-11,30
2020-12,35
2021-01,40
2021-02,38
2021-03,36
2021-04,28
2021-05,30
2021-06,37
2021-07,100
2021-08,37
2021-09,26
2021-10,32
2021-11,27
2021-12,32
2022-01,40
2022-02,20
2022-03,37
2022-04,39
2022-05,22
2022-06,41
2022-07,28
2022-08,34
2022-09,34
2022-10,34
2022-11,53
2022-12,31
2023-01,28
2023-02,31
2023-03,29
2023-04,28
2023-05,34
2023-06,28
2023-07,41
2023-08,29
2023-09,42
2023-10,35
2023-11,26
2023-12,19
2024-01,25
2024-02,26
2024-03,28
2024-04,15
