Category: All categories

Month,gout: (Thailand)
2014-01,49
2014-02,32
2014-03,30
2014-04,42
2014-05,43
2014-06,47
2014-07,44
2014-08,53
2014-09,47
2014-10,46
2014-11,44
2014-12,40
2015-01,45
2015-02,45
2015-03,40
2015-04,41
2015-05,40
2015-06,54
2015-07,48
2015-08,55
2015-09,38
2015-10,44
2015-11,45
2015-12,46
2016-01,46
2016-02,54
2016-03,49
2016-04,47
2016-05,38
2016-06,47
2016-07,54
2016-08,58
2016-09,59
2016-10,49
2016-11,61
2016-12,47
2017-01,66
2017-02,63
2017-03,56
2017-04,62
2017-05,54
2017-06,64
2017-07,70
2017-08,72
2017-09,62
2017-10,66
2017-11,63
2017-12,58
2018-01,62
2018-02,71
2018-03,52
2018-04,58
2018-05,58
2018-06,63
2018-07,69
2018-08,63
2018-09,66
2018-10,53
2018-11,69
2018-12,58
2019-01,70
2019-02,65
2019-03,63
2019-04,57
2019-05,51
2019-06,72
2019-07,74
2019-08,71
2019-09,66
2019-10,62
2019-11,78
2019-12,77
2020-01,75
2020-02,69
2020-03,66
2020-04,52
2020-05,51
2020-06,70
2020-07,64
2020-08,69
2020-09,67
2020-10,59
2020-11,58
2020-12,57
2021-01,57
2021-02,50
2021-03,51
2021-04,48
2021-05,42
2021-06,52
2021-07,47
2021-08,43
2021-09,59
2021-10,54
2021-11,64
2021-12,51
2022-01,53
2022-02,53
2022-03,63
2022-04,51
2022-05,68
2022-06,68
2022-07,65
2022-08,61
2022-09,65
2022-10,61
2022-11,77
2022-12,55
2023-01,71
2023-02,73
2023-03,69
2023-04,57
2023-05,67
2023-06,73
2023-07,80
2023-08,85
2023-09,78
2023-10,74
2023-11,74
2023-12,74
2024-01,83
2024-02,100
2024-03,81
2024-04,95
