Category: All categories

Month,gout: (Tunisia)
2014-01,54
2014-02,43
2014-03,55
2014-04,44
2014-05,51
2014-06,43
2014-07,44
2014-08,40
2014-09,47
2014-10,47
2014-11,36
2014-12,26
2015-01,36
2015-02,25
2015-03,33
2015-04,33
2015-05,44
2015-06,36
2015-07,34
2015-08,47
2015-09,32
2015-10,43
2015-11,39
2015-12,41
2016-01,32
2016-02,24
2016-03,43
2016-04,45
2016-05,40
2016-06,39
2016-07,49
2016-08,44
2016-09,35
2016-10,34
2016-11,46
2016-12,44
2017-01,31
2017-02,41
2017-03,39
2017-04,39
2017-05,33
2017-06,38
2017-07,31
2017-08,39
2017-09,31
2017-10,39
2017-11,47
2017-12,54
2018-01,45
2018-02,47
2018-03,41
2018-04,43
2018-05,34
2018-06,30
2018-07,39
2018-08,57
2018-09,43
2018-10,36
2018-11,47
2018-12,51
2019-01,57
2019-02,45
2019-03,45
2019-04,37
2019-05,35
2019-06,39
2019-07,31
2019-08,58
2019-09,44
2019-10,44
2019-11,37
2019-12,49
2020-01,50
2020-02,40
2020-03,47
2020-04,54
2020-05,45
2020-06,52
2020-07,49
2020-08,54
2020-09,72
2020-10,100
2020-11,66
2020-12,59
2021-01,81
2021-02,54
2021-03,56
2021-04,59
2021-05,44
2021-06,59
2021-07,65
2021-08,72
2021-09,35
2021-10,53
2021-11,62
2021-12,49
2022-01,41
2022-02,61
2022-03,58
2022-04,51
2022-05,53
2022-06,39
2022-07,50
2022-08,71
2022-09,43
2022-10,41
2022-11,64
2022-12,58
2023-01,51
2023-02,51
2023-03,51
2023-04,47
2023-05,59
2023-06,48
2023-07,47
2023-08,65
2023-09,55
2023-10,43
2023-11,49
2023-12,49
2024-01,50
2024-02,50
2024-03,43
2024-04,53
