Category: All categories

Month,gout: (Trinidad & Tobago)
2014-01,56
2014-02,60
2014-03,47
2014-04,43
2014-05,47
2014-06,48
2014-07,48
2014-08,0
2014-09,0
2014-10,50
2014-11,0
2014-12,52
2015-01,64
2015-02,44
2015-03,0
2015-04,100
2015-05,49
2015-06,47
2015-07,0
2015-08,50
2015-09,0
2015-10,44
2015-11,50
2015-12,49
2016-01,40
2016-02,0
2016-03,44
2016-04,70
2016-05,46
2016-06,0
2016-07,0
2016-08,54
2016-09,73
2016-10,43
2016-11,44
2016-12,51
2017-01,39
2017-02,42
2017-03,84
2017-04,65
2017-05,85
2017-06,97
2017-07,47
2017-08,50
2017-09,61
2017-10,40
2017-11,62
2017-12,58
2018-01,71
2018-02,66
2018-03,94
2018-04,0
2018-05,49
2018-06,38
2018-07,74
2018-08,54
2018-09,62
2018-10,58
2018-11,0
2018-12,0
2019-01,72
2019-02,73
2019-03,86
2019-04,66
2019-05,64
2019-06,70
2019-07,90
2019-08,94
2019-09,39
2019-10,79
2019-11,58
2019-12,43
2020-01,65
2020-02,72
2020-03,51
2020-04,54
2020-05,64
2020-06,65
2020-07,95
2020-08,62
2020-09,49
2020-10,60
2020-11,58
2020-12,67
2021-01,71
2021-02,61
2021-03,53
2021-04,57
2021-05,51
2021-06,57
2021-07,56
2021-08,50
2021-09,34
2021-10,40
2021-11,53
2021-12,53
2022-01,59
2022-02,60
2022-03,70
2022-04,62
2022-05,56
2022-06,66
2022-07,65
2022-08,48
2022-09,57
2022-10,73
2022-11,39
2022-12,48
2023-01,43
2023-02,72
2023-03,94
2023-04,49
2023-05,42
2023-06,66
2023-07,67
2023-08,60
2023-09,42
2023-10,65
2023-11,46
2023-12,59
2024-01,51
2024-02,44
2024-03,55
2024-04,37
