Category: All categories

Month,gout: (United States)
2014-01,68
2014-02,66
2014-03,66
2014-04,75
2014-05,76
2014-06,79
2014-07,80
2014-08,71
2014-09,74
2014-10,76
2014-11,64
2014-12,73
2015-01,70
2015-02,67
2015-03,73
2015-04,72
2015-05,78
2015-06,78
2015-07,84
2015-08,81
2015-09,74
2015-10,68
2015-11,72
2015-12,71
2016-01,74
2016-02,72
2016-03,71
2016-04,75
2016-05,78
2016-06,82
2016-07,77
2016-08,75
2016-09,74
2016-10,81
2016-11,69
2016-12,72
2017-01,75
2017-02,76
2017-03,80
2017-04,88
2017-05,81
2017-06,87
2017-07,91
2017-08,84
2017-09,80
2017-10,79
2017-11,76
2017-12,77
2018-01,78
2018-02,82
2018-03,84
2018-04,89
2018-05,92
2018-06,90
2018-07,100
2018-08,88
2018-09,88
2018-10,80
2018-11,77
2018-12,84
2019-01,88
2019-02,88
2019-03,87
2019-04,89
2019-05,90
2019-06,91
2019-07,96
2019-08,89
2019-09,78
2019-10,83
2019-11,79
2019-12,86
2020-01,90
2020-02,81
2020-03,72
2020-04,76
2020-05,79
2020-06,92
2020-07,86
2020-08,83
2020-09,76
2020-10,75
2020-11,76
2020-12,79
2021-01,79
2021-02,81
2021-03,75
2021-04,83
2021-05,83
2021-06,89
2021-07,90
2021-08,86
2021-09,80
2021-10,80
2021-11,77
2021-12,76
2022-01,85
2022-02,82
2022-03,87
2022-04,86
2022-05,91
2022-06,96
2022-07,96
2022-08,97
2022-09,88
2022-10,83
2022-11,79
2022-12,82
2023-01,82
2023-02,86
2023-03,93
2023-04,90
2023-05,95
2023-06,97
2023-07,91
2023-08,86
2023-09,80
2023-10,82
2023-11,78
2023-12,84
2024-01,85
2024-02,85
2024-03,84
2024-04,87
