Category: All categories

Month,gout: (Zambia)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,87
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,51
2017-02,0
2017-03,56
2017-04,0
2017-05,48
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,46
2017-12,50
2018-01,0
2018-02,0
2018-03,48
2018-04,100
2018-05,49
2018-06,64
2018-07,45
2018-08,51
2018-09,50
2018-10,68
2018-11,53
2018-12,0
2019-01,41
2019-02,67
2019-03,39
2019-04,49
2019-05,59
2019-06,0
2019-07,48
2019-08,38
2019-09,46
2019-10,0
2019-11,38
2019-12,0
2020-01,37
2020-02,54
2020-03,39
2020-04,43
2020-05,43
2020-06,36
2020-07,24
2020-08,60
2020-09,54
2020-10,60
2020-11,72
2020-12,36
2021-01,71
2021-02,43
2021-03,36
2021-04,41
2021-05,55
2021-06,34
2021-07,53
2021-08,41
2021-09,61
2021-10,43
2021-11,59
2021-12,30
2022-01,46
2022-02,58
2022-03,58
2022-04,53
2022-05,73
2022-06,74
2022-07,66
2022-08,56
2022-09,86
2022-10,96
2022-11,83
2022-12,51
2023-01,51
2023-02,80
2023-03,65
2023-04,72
2023-05,64
2023-06,62
2023-07,45
2023-08,26
2023-09,66
2023-10,76
2023-11,57
2023-12,57
2024-01,44
2024-02,59
2024-03,52
2024-04,28
