Category: All categories

Month,gout: (Zimbabwe)
2014-01,0
2014-02,0
2014-03,67
2014-04,0
2014-05,83
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,71
2015-04,0
2015-05,0
2015-06,0
2015-07,58
2015-08,0
2015-09,0
2015-10,72
2015-11,100
2015-12,0
2016-01,0
2016-02,49
2016-03,0
2016-04,0
2016-05,0
2016-06,51
2016-07,0
2016-08,0
2016-09,52
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,51
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,61
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,67
2018-04,0
2018-05,0
2018-06,73
2018-07,0
2018-08,0
2018-09,0
2018-10,54
2018-11,53
2018-12,0
2019-01,79
2019-02,59
2019-03,0
2019-04,56
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,87
2019-11,0
2019-12,0
2020-01,56
2020-02,0
2020-03,51
2020-04,57
2020-05,67
2020-06,0
2020-07,0
2020-08,0
2020-09,54
2020-10,81
2020-11,66
2020-12,74
2021-01,48
2021-02,52
2021-03,48
2021-04,50
2021-05,0
2021-06,39
2021-07,0
2021-08,85
2021-09,49
2021-10,71
2021-11,57
2021-12,0
2022-01,64
2022-02,53
2022-03,56
2022-04,33
2022-05,46
2022-06,40
2022-07,60
2022-08,53
2022-09,55
2022-10,52
2022-11,48
2022-12,82
2023-01,59
2023-02,72
2023-03,80
2023-04,61
2023-05,55
2023-06,42
2023-07,39
2023-08,51
2023-09,53
2023-10,62
2023-11,45
2023-12,79
2024-01,68
2024-02,31
2024-03,64
2024-04,28
