Category: All categories

Month,gout: (United Arab Emirates)
2014-01,58
2014-02,56
2014-03,63
2014-04,68
2014-05,53
2014-06,59
2014-07,71
2014-08,62
2014-09,78
2014-10,73
2014-11,72
2014-12,63
2015-01,68
2015-02,67
2015-03,87
2015-04,78
2015-05,70
2015-06,71
2015-07,71
2015-08,72
2015-09,76
2015-10,77
2015-11,70
2015-12,57
2016-01,67
2016-02,71
2016-03,69
2016-04,76
2016-05,79
2016-06,71
2016-07,62
2016-08,72
2016-09,74
2016-10,65
2016-11,71
2016-12,64
2017-01,68
2017-02,67
2017-03,70
2017-04,82
2017-05,70
2017-06,64
2017-07,85
2017-08,85
2017-09,93
2017-10,95
2017-11,83
2017-12,80
2018-01,87
2018-02,86
2018-03,98
2018-04,100
2018-05,86
2018-06,71
2018-07,85
2018-08,81
2018-09,85
2018-10,93
2018-11,86
2018-12,88
2019-01,83
2019-02,83
2019-03,89
2019-04,88
2019-05,82
2019-06,86
2019-07,86
2019-08,90
2019-09,82
2019-10,83
2019-11,76
2019-12,90
2020-01,83
2020-02,87
2020-03,74
2020-04,74
2020-05,84
2020-06,86
2020-07,82
2020-08,90
2020-09,82
2020-10,82
2020-11,79
2020-12,93
2021-01,82
2021-02,84
2021-03,83
2021-04,75
2021-05,74
2021-06,74
2021-07,77
2021-08,91
2021-09,73
2021-10,74
2021-11,69
2021-12,86
2022-01,82
2022-02,76
2022-03,76
2022-04,75
2022-05,74
2022-06,89
2022-07,82
2022-08,90
2022-09,70
2022-10,70
2022-11,66
2022-12,70
2023-01,78
2023-02,89
2023-03,83
2023-04,77
2023-05,85
2023-06,77
2023-07,65
2023-08,82
2023-09,76
2023-10,71
2023-11,64
2023-12,79
2024-01,78
2024-02,74
2024-03,72
2024-04,71
2024-05,73
2024-06,73
2024-07,79
2024-08,85
2024-09,83
2024-10,75
2024-11,75
2024-12,86
