Category: All categories

Month,gout: (Argentina)
2014-01,18
2014-02,20
2014-03,22
2014-04,22
2014-05,19
2014-06,30
2014-07,17
2014-08,19
2014-09,31
2014-10,13
2014-11,27
2014-12,17
2015-01,27
2015-02,18
2015-03,24
2015-04,19
2015-05,27
2015-06,23
2015-07,14
2015-08,26
2015-09,24
2015-10,30
2015-11,19
2015-12,26
2016-01,32
2016-02,23
2016-03,23
2016-04,30
2016-05,28
2016-06,18
2016-07,38
2016-08,22
2016-09,25
2016-10,25
2016-11,32
2016-12,32
2017-01,25
2017-02,31
2017-03,33
2017-04,33
2017-05,37
2017-06,32
2017-07,52
2017-08,34
2017-09,34
2017-10,28
2017-11,29
2017-12,32
2018-01,32
2018-02,36
2018-03,42
2018-04,34
2018-05,28
2018-06,46
2018-07,40
2018-08,57
2018-09,63
2018-10,54
2018-11,34
2018-12,45
2019-01,42
2019-02,34
2019-03,48
2019-04,56
2019-05,50
2019-06,44
2019-07,54
2019-08,43
2019-09,54
2019-10,52
2019-11,45
2019-12,36
2020-01,42
2020-02,52
2020-03,48
2020-04,30
2020-05,46
2020-06,34
2020-07,47
2020-08,43
2020-09,34
2020-10,36
2020-11,38
2020-12,44
2021-01,45
2021-02,55
2021-03,55
2021-04,39
2021-05,44
2021-06,62
2021-07,71
2021-08,46
2021-09,51
2021-10,56
2021-11,44
2021-12,68
2022-01,68
2022-02,72
2022-03,53
2022-04,69
2022-05,72
2022-06,73
2022-07,67
2022-08,69
2022-09,57
2022-10,61
2022-11,50
2022-12,54
2023-01,64
2023-02,59
2023-03,56
2023-04,79
2023-05,67
2023-06,71
2023-07,100
2023-08,83
2023-09,58
2023-10,65
2023-11,54
2023-12,62
2024-01,59
2024-02,60
2024-03,60
2024-04,64
2024-05,67
2024-06,64
2024-07,67
2024-08,74
2024-09,64
2024-10,80
2024-11,60
2024-12,93
