Category: All categories

Month,gout: (Austria)
2014-01,41
2014-02,0
2014-03,29
2014-04,34
2014-05,42
2014-06,0
2014-07,36
2014-08,30
2014-09,30
2014-10,52
2014-11,0
2014-12,38
2015-01,38
2015-02,32
2015-03,39
2015-04,31
2015-05,29
2015-06,37
2015-07,37
2015-08,24
2015-09,0
2015-10,27
2015-11,45
2015-12,0
2016-01,36
2016-02,50
2016-03,50
2016-04,51
2016-05,40
2016-06,35
2016-07,33
2016-08,0
2016-09,0
2016-10,39
2016-11,35
2016-12,44
2017-01,37
2017-02,0
2017-03,41
2017-04,34
2017-05,27
2017-06,44
2017-07,38
2017-08,23
2017-09,32
2017-10,30
2017-11,28
2017-12,31
2018-01,39
2018-02,20
2018-03,47
2018-04,43
2018-05,0
2018-06,27
2018-07,19
2018-08,49
2018-09,39
2018-10,36
2018-11,36
2018-12,24
2019-01,56
2019-02,50
2019-03,43
2019-04,39
2019-05,34
2019-06,22
2019-07,32
2019-08,27
2019-09,32
2019-10,46
2019-11,27
2019-12,33
2020-01,44
2020-02,41
2020-03,33
2020-04,44
2020-05,38
2020-06,51
2020-07,20
2020-08,27
2020-09,0
2020-10,40
2020-11,50
2020-12,46
2021-01,34
2021-02,25
2021-03,34
2021-04,28
2021-05,34
2021-06,36
2021-07,35
2021-08,29
2021-09,31
2021-10,42
2021-11,20
2021-12,46
2022-01,52
2022-02,26
2022-03,31
2022-04,29
2022-05,38
2022-06,52
2022-07,26
2022-08,40
2022-09,46
2022-10,37
2022-11,26
2022-12,45
2023-01,49
2023-02,40
2023-03,38
2023-04,47
2023-05,46
2023-06,53
2023-07,44
2023-08,52
2023-09,55
2023-10,45
2023-11,33
2023-12,66
2024-01,43
2024-02,54
2024-03,55
2024-04,51
2024-05,62
2024-06,44
2024-07,35
2024-08,63
2024-09,56
2024-10,49
2024-11,54
2024-12,100
