Category: All categories

Month,gout: (Belgium)
2014-01,37
2014-02,38
2014-03,38
2014-04,36
2014-05,39
2014-06,30
2014-07,34
2014-08,36
2014-09,34
2014-10,40
2014-11,47
2014-12,41
2015-01,39
2015-02,49
2015-03,41
2015-04,40
2015-05,35
2015-06,35
2015-07,31
2015-08,38
2015-09,38
2015-10,39
2015-11,41
2015-12,52
2016-01,47
2016-02,53
2016-03,48
2016-04,53
2016-05,47
2016-06,40
2016-07,42
2016-08,39
2016-09,43
2016-10,45
2016-11,52
2016-12,54
2017-01,47
2017-02,51
2017-03,49
2017-04,43
2017-05,46
2017-06,38
2017-07,41
2017-08,41
2017-09,42
2017-10,51
2017-11,51
2017-12,52
2018-01,49
2018-02,51
2018-03,50
2018-04,46
2018-05,43
2018-06,44
2018-07,40
2018-08,49
2018-09,45
2018-10,48
2018-11,55
2018-12,54
2019-01,48
2019-02,56
2019-03,52
2019-04,52
2019-05,50
2019-06,46
2019-07,47
2019-08,49
2019-09,46
2019-10,47
2019-11,47
2019-12,56
2020-01,49
2020-02,60
2020-03,59
2020-04,58
2020-05,53
2020-06,52
2020-07,59
2020-08,60
2020-09,59
2020-10,100
2020-11,71
2020-12,69
2021-01,63
2021-02,60
2021-03,57
2021-04,66
2021-05,62
2021-06,56
2021-07,63
2021-08,63
2021-09,64
2021-10,71
2021-11,73
2021-12,75
2022-01,75
2022-02,68
2022-03,68
2022-04,71
2022-05,66
2022-06,62
2022-07,64
2022-08,61
2022-09,60
2022-10,64
2022-11,77
2022-12,79
2023-01,66
2023-02,69
2023-03,69
2023-04,72
2023-05,65
2023-06,59
2023-07,59
2023-08,64
2023-09,62
2023-10,60
2023-11,66
2023-12,77
2024-01,65
2024-02,72
2024-03,70
2024-04,77
2024-05,65
2024-06,65
2024-07,64
2024-08,62
2024-09,65
2024-10,65
2024-11,65
2024-12,78
