Category: All categories

Month,gout: (Brazil)
2014-01,38
2014-02,32
2014-03,33
2014-04,39
2014-05,32
2014-06,49
2014-07,41
2014-08,44
2014-09,45
2014-10,35
2014-11,36
2014-12,42
2015-01,42
2015-02,55
2015-03,55
2015-04,38
2015-05,43
2015-06,47
2015-07,34
2015-08,40
2015-09,50
2015-10,38
2015-11,38
2015-12,38
2016-01,41
2016-02,51
2016-03,60
2016-04,41
2016-05,36
2016-06,46
2016-07,41
2016-08,36
2016-09,41
2016-10,40
2016-11,38
2016-12,37
2017-01,41
2017-02,41
2017-03,50
2017-04,38
2017-05,34
2017-06,43
2017-07,19
2017-08,39
2017-09,35
2017-10,37
2017-11,49
2017-12,45
2018-01,48
2018-02,46
2018-03,70
2018-04,36
2018-05,38
2018-06,38
2018-07,37
2018-08,47
2018-09,45
2018-10,41
2018-11,48
2018-12,62
2019-01,51
2019-02,58
2019-03,58
2019-04,44
2019-05,53
2019-06,53
2019-07,55
2019-08,50
2019-09,51
2019-10,45
2019-11,52
2019-12,55
2020-01,52
2020-02,39
2020-03,51
2020-04,42
2020-05,47
2020-06,48
2020-07,51
2020-08,42
2020-09,43
2020-10,47
2020-11,52
2020-12,42
2021-01,41
2021-02,44
2021-03,34
2021-04,41
2021-05,41
2021-06,35
2021-07,47
2021-08,35
2021-09,45
2021-10,43
2021-11,43
2021-12,43
2022-01,41
2022-02,35
2022-03,37
2022-04,38
2022-05,32
2022-06,32
2022-07,37
2022-08,36
2022-09,38
2022-10,35
2022-11,35
2022-12,40
2023-01,39
2023-02,38
2023-03,35
2023-04,38
2023-05,33
2023-06,34
2023-07,41
2023-08,47
2023-09,36
2023-10,41
2023-11,44
2023-12,39
2024-01,45
2024-02,47
2024-03,51
2024-04,49
2024-05,44
2024-06,46
2024-07,50
2024-08,59
2024-09,50
2024-10,47
2024-11,42
2024-12,100
