Category: All categories

Month,gout: (Switzerland)
2014-01,43
2014-02,40
2014-03,39
2014-04,38
2014-05,40
2014-06,31
2014-07,34
2014-08,38
2014-09,58
2014-10,72
2014-11,58
2014-12,39
2015-01,40
2015-02,41
2015-03,44
2015-04,39
2015-05,37
2015-06,33
2015-07,38
2015-08,47
2015-09,68
2015-10,81
2015-11,40
2015-12,47
2016-01,46
2016-02,44
2016-03,42
2016-04,52
2016-05,37
2016-06,46
2016-07,45
2016-08,56
2016-09,67
2016-10,89
2016-11,47
2016-12,49
2017-01,43
2017-02,47
2017-03,52
2017-04,44
2017-05,48
2017-06,48
2017-07,43
2017-08,53
2017-09,79
2017-10,57
2017-11,78
2017-12,56
2018-01,50
2018-02,54
2018-03,48
2018-04,46
2018-05,45
2018-06,34
2018-07,39
2018-08,53
2018-09,67
2018-10,74
2018-11,70
2018-12,43
2019-01,46
2019-02,52
2019-03,47
2019-04,48
2019-05,51
2019-06,43
2019-07,47
2019-08,51
2019-09,71
2019-10,78
2019-11,58
2019-12,52
2020-01,44
2020-02,45
2020-03,61
2020-04,58
2020-05,56
2020-06,53
2020-07,53
2020-08,55
2020-09,66
2020-10,72
2020-11,71
2020-12,64
2021-01,68
2021-02,56
2021-03,53
2021-04,59
2021-05,57
2021-06,52
2021-07,51
2021-08,65
2021-09,65
2021-10,98
2021-11,57
2021-12,71
2022-01,72
2022-02,69
2022-03,66
2022-04,63
2022-05,57
2022-06,55
2022-07,57
2022-08,62
2022-09,81
2022-10,80
2022-11,100
2022-12,90
2023-01,65
2023-02,66
2023-03,66
2023-04,65
2023-05,66
2023-06,64
2023-07,56
2023-08,65
2023-09,76
2023-10,84
2023-11,91
2023-12,71
2024-01,64
2024-02,62
2024-03,65
2024-04,66
2024-05,68
2024-06,59
2024-07,57
2024-08,67
2024-09,80
2024-10,91
2024-11,74
2024-12,77
