Category: All categories

Month,gout: (China)
2014-01,8
2014-02,10
2014-03,9
2014-04,10
2014-05,16
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,100
2016-02,0
2016-03,0
2016-04,74
2016-05,0
2016-06,0
2016-07,47
2016-08,78
2016-09,0
2016-10,0
2016-11,0
2016-12,42
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,55
2017-10,40
2017-11,37
2017-12,39
2018-01,34
2018-02,0
2018-03,37
2018-04,36
2018-05,0
2018-06,40
2018-07,0
2018-08,37
2018-09,31
2018-10,35
2018-11,38
2018-12,27
2019-01,33
2019-02,0
2019-03,37
2019-04,45
2019-05,54
2019-06,0
2019-07,26
2019-08,41
2019-09,44
2019-10,29
2019-11,34
2019-12,47
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,66
2020-06,43
2020-07,0
2020-08,44
2020-09,0
2020-10,0
2020-11,54
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,36
2021-05,31
2021-06,25
2021-07,26
2021-08,22
2021-09,31
2021-10,28
2021-11,27
2021-12,25
2022-01,24
2022-02,23
2022-03,28
2022-04,30
2022-05,40
2022-06,38
2022-07,44
2022-08,30
2022-09,0
2022-10,33
2022-11,24
2022-12,26
2023-01,36
2023-02,21
2023-03,31
2023-04,36
2023-05,53
2023-06,39
2023-07,32
2023-08,31
2023-09,35
2023-10,32
2023-11,29
2023-12,25
2024-01,26
2024-02,30
2024-03,33
2024-04,38
2024-05,21
2024-06,41
2024-07,30
2024-08,33
2024-09,42
2024-10,40
2024-11,37
2024-12,48
