Category: All categories

Month,gout: (Cyprus)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,75
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,65
2015-04,61
2015-05,0
2015-06,0
2015-07,55
2015-08,54
2015-09,0
2015-10,69
2015-11,0
2015-12,0
2016-01,0
2016-02,52
2016-03,64
2016-04,0
2016-05,78
2016-06,0
2016-07,0
2016-08,56
2016-09,0
2016-10,80
2016-11,0
2016-12,0
2017-01,49
2017-02,0
2017-03,60
2017-04,0
2017-05,0
2017-06,63
2017-07,64
2017-08,50
2017-09,74
2017-10,80
2017-11,0
2017-12,0
2018-01,0
2018-02,64
2018-03,40
2018-04,47
2018-05,85
2018-06,51
2018-07,76
2018-08,0
2018-09,51
2018-10,40
2018-11,0
2018-12,64
2019-01,52
2019-02,65
2019-03,0
2019-04,46
2019-05,63
2019-06,67
2019-07,49
2019-08,87
2019-09,74
2019-10,79
2019-11,42
2019-12,55
2020-01,39
2020-02,44
2020-03,0
2020-04,49
2020-05,0
2020-06,53
2020-07,50
2020-08,65
2020-09,59
2020-10,65
2020-11,38
2020-12,42
2021-01,49
2021-02,40
2021-03,57
2021-04,77
2021-05,48
2021-06,0
2021-07,43
2021-08,0
2021-09,48
2021-10,49
2021-11,40
2021-12,0
2022-01,50
2022-02,0
2022-03,35
2022-04,64
2022-05,43
2022-06,53
2022-07,55
2022-08,65
2022-09,66
2022-10,48
2022-11,40
2022-12,45
2023-01,55
2023-02,50
2023-03,33
2023-04,59
2023-05,57
2023-06,71
2023-07,52
2023-08,53
2023-09,71
2023-10,59
2023-11,48
2023-12,40
2024-01,47
2024-02,60
2024-03,51
2024-04,65
2024-05,72
2024-06,67
2024-07,77
2024-08,97
2024-09,69
2024-10,69
2024-11,100
2024-12,53
