Category: All categories

Month,gout: (Czechia)
2014-01,31
2014-02,0
2014-03,30
2014-04,27
2014-05,0
2014-06,47
2014-07,0
2014-08,34
2014-09,35
2014-10,0
2014-11,28
2014-12,0
2015-01,0
2015-02,0
2015-03,42
2015-04,28
2015-05,27
2015-06,31
2015-07,33
2015-08,31
2015-09,32
2015-10,0
2015-11,27
2015-12,37
2016-01,23
2016-02,0
2016-03,32
2016-04,26
2016-05,51
2016-06,44
2016-07,49
2016-08,25
2016-09,27
2016-10,39
2016-11,31
2016-12,41
2017-01,37
2017-02,0
2017-03,45
2017-04,22
2017-05,43
2017-06,31
2017-07,28
2017-08,38
2017-09,30
2017-10,55
2017-11,27
2017-12,23
2018-01,31
2018-02,38
2018-03,38
2018-04,41
2018-05,38
2018-06,34
2018-07,29
2018-08,31
2018-09,44
2018-10,30
2018-11,37
2018-12,21
2019-01,39
2019-02,38
2019-03,32
2019-04,28
2019-05,44
2019-06,44
2019-07,50
2019-08,44
2019-09,45
2019-10,34
2019-11,40
2019-12,35
2020-01,55
2020-02,59
2020-03,30
2020-04,36
2020-05,52
2020-06,45
2020-07,59
2020-08,44
2020-09,46
2020-10,50
2020-11,23
2020-12,35
2021-01,43
2021-02,36
2021-03,58
2021-04,46
2021-05,44
2021-06,38
2021-07,51
2021-08,40
2021-09,47
2021-10,40
2021-11,51
2021-12,45
2022-01,68
2022-02,49
2022-03,49
2022-04,49
2022-05,74
2022-06,60
2022-07,77
2022-08,75
2022-09,58
2022-10,72
2022-11,48
2022-12,47
2023-01,60
2023-02,56
2023-03,57
2023-04,44
2023-05,50
2023-06,52
2023-07,56
2023-08,63
2023-09,48
2023-10,59
2023-11,57
2023-12,67
2024-01,73
2024-02,73
2024-03,55
2024-04,62
2024-05,72
2024-06,69
2024-07,56
2024-08,62
2024-09,59
2024-10,80
2024-11,60
2024-12,100
