Category: All categories

Month,gout: (Denmark)
2014-01,29
2014-02,29
2014-03,28
2014-04,31
2014-05,24
2014-06,33
2014-07,30
2014-08,23
2014-09,39
2014-10,40
2014-11,40
2014-12,52
2015-01,32
2015-02,26
2015-03,43
2015-04,31
2015-05,24
2015-06,26
2015-07,27
2015-08,26
2015-09,27
2015-10,31
2015-11,42
2015-12,39
2016-01,25
2016-02,29
2016-03,31
2016-04,27
2016-05,22
2016-06,35
2016-07,35
2016-08,30
2016-09,31
2016-10,46
2016-11,43
2016-12,68
2017-01,24
2017-02,23
2017-03,34
2017-04,34
2017-05,29
2017-06,34
2017-07,42
2017-08,25
2017-09,37
2017-10,62
2017-11,57
2017-12,53
2018-01,24
2018-02,28
2018-03,25
2018-04,32
2018-05,34
2018-06,34
2018-07,30
2018-08,28
2018-09,41
2018-10,69
2018-11,70
2018-12,64
2019-01,44
2019-02,38
2019-03,36
2019-04,39
2019-05,41
2019-06,34
2019-07,39
2019-08,25
2019-09,46
2019-10,47
2019-11,54
2019-12,50
2020-01,39
2020-02,40
2020-03,23
2020-04,21
2020-05,28
2020-06,28
2020-07,31
2020-08,34
2020-09,38
2020-10,47
2020-11,80
2020-12,58
2021-01,30
2021-02,21
2021-03,29
2021-04,29
2021-05,27
2021-06,30
2021-07,31
2021-08,36
2021-09,30
2021-10,55
2021-11,53
2021-12,58
2022-01,36
2022-02,40
2022-03,36
2022-04,30
2022-05,38
2022-06,36
2022-07,40
2022-08,30
2022-09,38
2022-10,68
2022-11,54
2022-12,51
2023-01,40
2023-02,33
2023-03,37
2023-04,38
2023-05,36
2023-06,42
2023-07,45
2023-08,39
2023-09,39
2023-10,84
2023-11,58
2023-12,58
2024-01,46
2024-02,35
2024-03,37
2024-04,37
2024-05,42
2024-06,52
2024-07,50
2024-08,41
2024-09,56
2024-10,100
2024-11,62
2024-12,79
