Category: All categories

Month,gout: (Algeria)
2014-01,31
2014-02,32
2014-03,34
2014-04,29
2014-05,35
2014-06,28
2014-07,34
2014-08,31
2014-09,35
2014-10,30
2014-11,37
2014-12,32
2015-01,30
2015-02,42
2015-03,35
2015-04,34
2015-05,35
2015-06,30
2015-07,32
2015-08,32
2015-09,37
2015-10,28
2015-11,30
2015-12,32
2016-01,35
2016-02,39
2016-03,34
2016-04,33
2016-05,33
2016-06,34
2016-07,34
2016-08,35
2016-09,35
2016-10,29
2016-11,29
2016-12,36
2017-01,31
2017-02,31
2017-03,29
2017-04,38
2017-05,33
2017-06,34
2017-07,33
2017-08,37
2017-09,38
2017-10,34
2017-11,34
2017-12,44
2018-01,51
2018-02,48
2018-03,40
2018-04,40
2018-05,39
2018-06,40
2018-07,43
2018-08,45
2018-09,46
2018-10,40
2018-11,38
2018-12,37
2019-01,34
2019-02,43
2019-03,32
2019-04,42
2019-05,43
2019-06,40
2019-07,31
2019-08,39
2019-09,44
2019-10,44
2019-11,37
2019-12,36
2020-01,43
2020-02,48
2020-03,49
2020-04,56
2020-05,51
2020-06,64
2020-07,100
2020-08,68
2020-09,58
2020-10,76
2020-11,90
2020-12,58
2021-01,56
2021-02,45
2021-03,42
2021-04,68
2021-05,62
2021-06,51
2021-07,71
2021-08,68
2021-09,50
2021-10,44
2021-11,43
2021-12,57
2022-01,65
2022-02,48
2022-03,45
2022-04,60
2022-05,48
2022-06,48
2022-07,51
2022-08,46
2022-09,45
2022-10,45
2022-11,51
2022-12,44
2023-01,44
2023-02,40
2023-03,55
2023-04,48
2023-05,42
2023-06,45
2023-07,51
2023-08,48
2023-09,51
2023-10,40
2023-11,46
2023-12,38
2024-01,35
2024-02,47
2024-03,47
2024-04,45
2024-05,39
2024-06,39
2024-07,46
2024-08,52
2024-09,45
2024-10,38
2024-11,42
2024-12,48
