Category: All categories

Month,gout: (Spain)
2014-01,26
2014-02,22
2014-03,22
2014-04,24
2014-05,21
2014-06,26
2014-07,34
2014-08,33
2014-09,28
2014-10,31
2014-11,24
2014-12,25
2015-01,25
2015-02,24
2015-03,21
2015-04,23
2015-05,24
2015-06,29
2015-07,35
2015-08,35
2015-09,25
2015-10,24
2015-11,27
2015-12,28
2016-01,30
2016-02,35
2016-03,29
2016-04,29
2016-05,38
2016-06,31
2016-07,46
2016-08,55
2016-09,40
2016-10,36
2016-11,32
2016-12,30
2017-01,38
2017-02,37
2017-03,39
2017-04,34
2017-05,33
2017-06,43
2017-07,46
2017-08,49
2017-09,38
2017-10,34
2017-11,31
2017-12,30
2018-01,33
2018-02,39
2018-03,36
2018-04,35
2018-05,42
2018-06,47
2018-07,50
2018-08,55
2018-09,48
2018-10,41
2018-11,33
2018-12,29
2019-01,38
2019-02,41
2019-03,43
2019-04,44
2019-05,46
2019-06,48
2019-07,52
2019-08,69
2019-09,40
2019-10,41
2019-11,35
2019-12,37
2020-01,33
2020-02,35
2020-03,32
2020-04,30
2020-05,31
2020-06,26
2020-07,39
2020-08,48
2020-09,30
2020-10,32
2020-11,29
2020-12,25
2021-01,36
2021-02,37
2021-03,26
2021-04,31
2021-05,30
2021-06,36
2021-07,53
2021-08,60
2021-09,36
2021-10,37
2021-11,41
2021-12,36
2022-01,41
2022-02,36
2022-03,36
2022-04,40
2022-05,46
2022-06,42
2022-07,55
2022-08,68
2022-09,45
2022-10,40
2022-11,37
2022-12,37
2023-01,35
2023-02,40
2023-03,44
2023-04,52
2023-05,43
2023-06,48
2023-07,54
2023-08,70
2023-09,50
2023-10,44
2023-11,35
2023-12,36
2024-01,39
2024-02,42
2024-03,44
2024-04,49
2024-05,50
2024-06,47
2024-07,56
2024-08,82
2024-09,56
2024-10,50
2024-11,46
2024-12,100
