Category: All categories

Month,gout: (England)
2014-01,81
2014-02,57
2014-03,56
2014-04,60
2014-05,58
2014-06,59
2014-07,63
2014-08,57
2014-09,54
2014-10,56
2014-11,52
2014-12,54
2015-01,56
2015-02,54
2015-03,58
2015-04,60
2015-05,60
2015-06,63
2015-07,69
2015-08,66
2015-09,57
2015-10,54
2015-11,54
2015-12,59
2016-01,61
2016-02,56
2016-03,59
2016-04,60
2016-05,65
2016-06,62
2016-07,68
2016-08,73
2016-09,61
2016-10,61
2016-11,54
2016-12,67
2017-01,65
2017-02,57
2017-03,63
2017-04,62
2017-05,73
2017-06,75
2017-07,71
2017-08,69
2017-09,63
2017-10,69
2017-11,63
2017-12,62
2018-01,73
2018-02,70
2018-03,70
2018-04,79
2018-05,76
2018-06,82
2018-07,80
2018-08,77
2018-09,63
2018-10,66
2018-11,63
2018-12,73
2019-01,82
2019-02,78
2019-03,77
2019-04,81
2019-05,77
2019-06,80
2019-07,80
2019-08,79
2019-09,66
2019-10,67
2019-11,69
2019-12,66
2020-01,79
2020-02,76
2020-03,64
2020-04,76
2020-05,75
2020-06,79
2020-07,74
2020-08,82
2020-09,66
2020-10,64
2020-11,64
2020-12,66
2021-01,67
2021-02,74
2021-03,75
2021-04,75
2021-05,78
2021-06,86
2021-07,85
2021-08,75
2021-09,71
2021-10,61
2021-11,67
2021-12,63
2022-01,72
2022-02,71
2022-03,72
2022-04,78
2022-05,85
2022-06,90
2022-07,86
2022-08,93
2022-09,88
2022-10,76
2022-11,68
2022-12,78
2023-01,81
2023-02,82
2023-03,80
2023-04,83
2023-05,91
2023-06,98
2023-07,82
2023-08,84
2023-09,84
2023-10,69
2023-11,69
2023-12,75
2024-01,82
2024-02,83
2024-03,82
2024-04,82
2024-05,86
2024-06,89
2024-07,84
2024-08,90
2024-09,76
2024-10,73
2024-11,77
2024-12,100
