Category: All categories

Month,gout: (Germany)
2014-01,35
2014-02,30
2014-03,31
2014-04,33
2014-05,34
2014-06,30
2014-07,40
2014-08,29
2014-09,41
2014-10,44
2014-11,35
2014-12,42
2015-01,33
2015-02,40
2015-03,36
2015-04,39
2015-05,39
2015-06,36
2015-07,35
2015-08,38
2015-09,31
2015-10,37
2015-11,34
2015-12,32
2016-01,37
2016-02,40
2016-03,43
2016-04,44
2016-05,42
2016-06,37
2016-07,46
2016-08,43
2016-09,37
2016-10,36
2016-11,34
2016-12,35
2017-01,36
2017-02,29
2017-03,35
2017-04,35
2017-05,41
2017-06,35
2017-07,38
2017-08,36
2017-09,37
2017-10,42
2017-11,38
2017-12,37
2018-01,31
2018-02,33
2018-03,38
2018-04,33
2018-05,40
2018-06,32
2018-07,40
2018-08,41
2018-09,35
2018-10,30
2018-11,40
2018-12,41
2019-01,37
2019-02,42
2019-03,40
2019-04,38
2019-05,39
2019-06,42
2019-07,39
2019-08,39
2019-09,39
2019-10,40
2019-11,37
2019-12,41
2020-01,38
2020-02,40
2020-03,25
2020-04,33
2020-05,37
2020-06,37
2020-07,39
2020-08,37
2020-09,31
2020-10,31
2020-11,32
2020-12,37
2021-01,34
2021-02,28
2021-03,36
2021-04,31
2021-05,27
2021-06,33
2021-07,36
2021-08,34
2021-09,35
2021-10,34
2021-11,35
2021-12,36
2022-01,39
2022-02,41
2022-03,40
2022-04,39
2022-05,41
2022-06,37
2022-07,44
2022-08,53
2022-09,50
2022-10,41
2022-11,40
2022-12,48
2023-01,47
2023-02,43
2023-03,40
2023-04,45
2023-05,47
2023-06,45
2023-07,43
2023-08,66
2023-09,49
2023-10,47
2023-11,44
2023-12,47
2024-01,48
2024-02,50
2024-03,48
2024-04,51
2024-05,58
2024-06,50
2024-07,57
2024-08,63
2024-09,57
2024-10,51
2024-11,55
2024-12,100
