Category: All categories

Month,gout: (Ghana)
2014-01,71
2014-02,65
2014-03,64
2014-04,44
2014-05,70
2014-06,55
2014-07,52
2014-08,69
2014-09,49
2014-10,60
2014-11,63
2014-12,46
2015-01,37
2015-02,82
2015-03,63
2015-04,81
2015-05,60
2015-06,58
2015-07,67
2015-08,50
2015-09,61
2015-10,70
2015-11,84
2015-12,85
2016-01,36
2016-02,54
2016-03,66
2016-04,71
2016-05,59
2016-06,67
2016-07,49
2016-08,62
2016-09,70
2016-10,66
2016-11,57
2016-12,54
2017-01,47
2017-02,100
2017-03,52
2017-04,49
2017-05,73
2017-06,73
2017-07,63
2017-08,83
2017-09,68
2017-10,64
2017-11,87
2017-12,60
2018-01,66
2018-02,80
2018-03,85
2018-04,73
2018-05,87
2018-06,59
2018-07,76
2018-08,64
2018-09,62
2018-10,63
2018-11,68
2018-12,60
2019-01,49
2019-02,59
2019-03,91
2019-04,52
2019-05,54
2019-06,53
2019-07,63
2019-08,48
2019-09,70
2019-10,50
2019-11,60
2019-12,67
2020-01,52
2020-02,81
2020-03,48
2020-04,60
2020-05,57
2020-06,61
2020-07,52
2020-08,71
2020-09,61
2020-10,54
2020-11,41
2020-12,40
2021-01,66
2021-02,52
2021-03,72
2021-04,82
2021-05,79
2021-06,65
2021-07,77
2021-08,69
2021-09,43
2021-10,88
2021-11,61
2021-12,71
2022-01,54
2022-02,66
2022-03,75
2022-04,86
2022-05,79
2022-06,65
2022-07,70
2022-08,70
2022-09,69
2022-10,77
2022-11,83
2022-12,55
2023-01,59
2023-02,76
2023-03,70
2023-04,85
2023-05,69
2023-06,72
2023-07,71
2023-08,74
2023-09,80
2023-10,57
2023-11,52
2023-12,59
2024-01,53
2024-02,62
2024-03,64
2024-04,55
2024-05,63
2024-06,47
2024-07,60
2024-08,59
2024-09,47
2024-10,52
2024-11,59
2024-12,69
