Category: All categories

Month,gout: (Hungary)
2014-01,19
2014-02,0
2014-03,0
2014-04,22
2014-05,27
2014-06,24
2014-07,23
2014-08,23
2014-09,22
2014-10,0
2014-11,26
2014-12,0
2015-01,26
2015-02,0
2015-03,23
2015-04,0
2015-05,21
2015-06,0
2015-07,28
2015-08,0
2015-09,0
2015-10,0
2015-11,20
2015-12,0
2016-01,20
2016-02,42
2016-03,31
2016-04,32
2016-05,38
2016-06,28
2016-07,0
2016-08,32
2016-09,0
2016-10,26
2016-11,0
2016-12,23
2017-01,0
2017-02,0
2017-03,28
2017-04,0
2017-05,37
2017-06,29
2017-07,27
2017-08,26
2017-09,35
2017-10,21
2017-11,23
2017-12,0
2018-01,0
2018-02,30
2018-03,30
2018-04,25
2018-05,19
2018-06,0
2018-07,31
2018-08,24
2018-09,0
2018-10,0
2018-11,34
2018-12,51
2019-01,27
2019-02,22
2019-03,22
2019-04,35
2019-05,33
2019-06,25
2019-07,0
2019-08,21
2019-09,24
2019-10,21
2019-11,26
2019-12,40
2020-01,30
2020-02,30
2020-03,34
2020-04,19
2020-05,22
2020-06,0
2020-07,0
2020-08,22
2020-09,18
2020-10,25
2020-11,27
2020-12,0
2021-01,18
2021-02,24
2021-03,17
2021-04,19
2021-05,22
2021-06,19
2021-07,0
2021-08,21
2021-09,23
2021-10,0
2021-11,48
2021-12,31
2022-01,31
2022-02,36
2022-03,24
2022-04,20
2022-05,31
2022-06,25
2022-07,29
2022-08,33
2022-09,26
2022-10,24
2022-11,31
2022-12,31
2023-01,37
2023-02,33
2023-03,30
2023-04,27
2023-05,32
2023-06,39
2023-07,26
2023-08,30
2023-09,32
2023-10,30
2023-11,40
2023-12,26
2024-01,30
2024-02,37
2024-03,35
2024-04,46
2024-05,49
2024-06,45
2024-07,36
2024-08,40
2024-09,30
2024-10,38
2024-11,33
2024-12,100
