Category: All categories

Month,gout: (Indonesia)
2014-01,50
2014-02,50
2014-03,65
2014-04,57
2014-05,56
2014-06,52
2014-07,39
2014-08,43
2014-09,63
2014-10,67
2014-11,69
2014-12,53
2015-01,50
2015-02,49
2015-03,65
2015-04,52
2015-05,58
2015-06,57
2015-07,44
2015-08,51
2015-09,67
2015-10,78
2015-11,69
2015-12,63
2016-01,51
2016-02,51
2016-03,55
2016-04,58
2016-05,56
2016-06,49
2016-07,45
2016-08,47
2016-09,60
2016-10,64
2016-11,63
2016-12,52
2017-01,52
2017-02,50
2017-03,58
2017-04,57
2017-05,64
2017-06,48
2017-07,63
2017-08,54
2017-09,61
2017-10,73
2017-11,71
2017-12,63
2018-01,62
2018-02,63
2018-03,70
2018-04,74
2018-05,68
2018-06,45
2018-07,58
2018-08,56
2018-09,81
2018-10,83
2018-11,74
2018-12,73
2019-01,71
2019-02,68
2019-03,78
2019-04,75
2019-05,68
2019-06,59
2019-07,72
2019-08,66
2019-09,79
2019-10,94
2019-11,78
2019-12,72
2020-01,69
2020-02,74
2020-03,63
2020-04,53
2020-05,56
2020-06,63
2020-07,56
2020-08,55
2020-09,57
2020-10,62
2020-11,56
2020-12,54
2021-01,54
2021-02,52
2021-03,60
2021-04,63
2021-05,61
2021-06,63
2021-07,48
2021-08,51
2021-09,58
2021-10,69
2021-11,76
2021-12,63
2022-01,63
2022-02,60
2022-03,78
2022-04,66
2022-05,58
2022-06,66
2022-07,63
2022-08,68
2022-09,77
2022-10,78
2022-11,75
2022-12,68
2023-01,69
2023-02,70
2023-03,73
2023-04,62
2023-05,70
2023-06,69
2023-07,69
2023-08,71
2023-09,74
2023-10,84
2023-11,79
2023-12,70
2024-01,70
2024-02,66
2024-03,78
2024-04,71
2024-05,84
2024-06,80
2024-07,87
2024-08,78
2024-09,88
2024-10,90
2024-11,93
2024-12,100
