Category: All categories

Month,gout: (Ireland)
2014-01,59
2014-02,58
2014-03,59
2014-04,64
2014-05,58
2014-06,59
2014-07,67
2014-08,50
2014-09,56
2014-10,52
2014-11,46
2014-12,59
2015-01,59
2015-02,55
2015-03,60
2015-04,58
2015-05,56
2015-06,69
2015-07,73
2015-08,61
2015-09,63
2015-10,65
2015-11,66
2015-12,64
2016-01,61
2016-02,72
2016-03,65
2016-04,71
2016-05,67
2016-06,74
2016-07,68
2016-08,74
2016-09,64
2016-10,70
2016-11,68
2016-12,63
2017-01,74
2017-02,79
2017-03,67
2017-04,74
2017-05,83
2017-06,79
2017-07,79
2017-08,66
2017-09,65
2017-10,64
2017-11,70
2017-12,60
2018-01,73
2018-02,71
2018-03,68
2018-04,75
2018-05,72
2018-06,80
2018-07,79
2018-08,74
2018-09,73
2018-10,62
2018-11,68
2018-12,79
2019-01,77
2019-02,79
2019-03,70
2019-04,72
2019-05,75
2019-06,70
2019-07,81
2019-08,73
2019-09,73
2019-10,62
2019-11,64
2019-12,68
2020-01,72
2020-02,71
2020-03,59
2020-04,68
2020-05,78
2020-06,78
2020-07,71
2020-08,78
2020-09,69
2020-10,62
2020-11,64
2020-12,71
2021-01,71
2021-02,76
2021-03,77
2021-04,77
2021-05,63
2021-06,79
2021-07,80
2021-08,65
2021-09,62
2021-10,62
2021-11,61
2021-12,60
2022-01,71
2022-02,64
2022-03,67
2022-04,69
2022-05,77
2022-06,78
2022-07,73
2022-08,79
2022-09,78
2022-10,72
2022-11,72
2022-12,71
2023-01,74
2023-02,81
2023-03,76
2023-04,81
2023-05,86
2023-06,92
2023-07,81
2023-08,84
2023-09,79
2023-10,67
2023-11,70
2023-12,76
2024-01,67
2024-02,84
2024-03,75
2024-04,80
2024-05,84
2024-06,74
2024-07,73
2024-08,84
2024-09,66
2024-10,71
2024-11,66
2024-12,100
