Category: All categories

Month,gout: (India)
2014-01,60
2014-02,61
2014-03,68
2014-04,70
2014-05,69
2014-06,67
2014-07,68
2014-08,78
2014-09,76
2014-10,72
2014-11,76
2014-12,64
2015-01,67
2015-02,75
2015-03,76
2015-04,83
2015-05,76
2015-06,83
2015-07,70
2015-08,75
2015-09,76
2015-10,71
2015-11,74
2015-12,69
2016-01,68
2016-02,78
2016-03,84
2016-04,81
2016-05,75
2016-06,77
2016-07,80
2016-08,72
2016-09,73
2016-10,68
2016-11,67
2016-12,62
2017-01,67
2017-02,71
2017-03,73
2017-04,73
2017-05,72
2017-06,72
2017-07,75
2017-08,72
2017-09,76
2017-10,74
2017-11,72
2017-12,64
2018-01,66
2018-02,69
2018-03,80
2018-04,79
2018-05,74
2018-06,69
2018-07,72
2018-08,68
2018-09,70
2018-10,63
2018-11,62
2018-12,62
2019-01,64
2019-02,65
2019-03,70
2019-04,71
2019-05,73
2019-06,71
2019-07,76
2019-08,73
2019-09,84
2019-10,66
2019-11,73
2019-12,75
2020-01,68
2020-02,75
2020-03,69
2020-04,79
2020-05,87
2020-06,84
2020-07,85
2020-08,76
2020-09,80
2020-10,75
2020-11,74
2020-12,77
2021-01,76
2021-02,82
2021-03,85
2021-04,81
2021-05,94
2021-06,91
2021-07,83
2021-08,87
2021-09,89
2021-10,86
2021-11,72
2021-12,79
2022-01,81
2022-02,85
2022-03,100
2022-04,84
2022-05,84
2022-06,86
2022-07,82
2022-08,72
2022-09,81
2022-10,73
2022-11,77
2022-12,79
2023-01,76
2023-02,83
2023-03,85
2023-04,78
2023-05,75
2023-06,89
2023-07,86
2023-08,78
2023-09,72
2023-10,71
2023-11,73
2023-12,69
2024-01,73
2024-02,74
2024-03,77
2024-04,78
2024-05,72
2024-06,75
2024-07,83
2024-08,88
2024-09,78
2024-10,74
2024-11,79
2024-12,85
