Category: All categories

Month,gout: (Iran)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,100
2014-07,0
2014-08,60
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,45
2015-02,80
2015-03,65
2015-04,51
2015-05,0
2015-06,0
2015-07,40
2015-08,46
2015-09,0
2015-10,0
2015-11,55
2015-12,50
2016-01,53
2016-02,37
2016-03,39
2016-04,35
2016-05,37
2016-06,42
2016-07,33
2016-08,32
2016-09,33
2016-10,41
2016-11,38
2016-12,45
2017-01,0
2017-02,35
2017-03,46
2017-04,42
2017-05,45
2017-06,0
2017-07,45
2017-08,46
2017-09,42
2017-10,32
2017-11,64
2017-12,69
2018-01,28
2018-02,47
2018-03,52
2018-04,41
2018-05,47
2018-06,46
2018-07,41
2018-08,47
2018-09,47
2018-10,45
2018-11,37
2018-12,34
2019-01,37
2019-02,32
2019-03,41
2019-04,31
2019-05,46
2019-06,44
2019-07,38
2019-08,33
2019-09,36
2019-10,38
2019-11,38
2019-12,58
2020-01,58
2020-02,29
2020-03,31
2020-04,37
2020-05,38
2020-06,49
2020-07,30
2020-08,29
2020-09,49
2020-10,21
2020-11,27
2020-12,29
2021-01,34
2021-02,27
2021-03,31
2021-04,27
2021-05,25
2021-06,31
2021-07,22
2021-08,33
2021-09,30
2021-10,33
2021-11,31
2021-12,25
2022-01,40
2022-02,38
2022-03,28
2022-04,36
2022-05,37
2022-06,46
2022-07,31
2022-08,32
2022-09,39
2022-10,40
2022-11,36
2022-12,29
2023-01,33
2023-02,31
2023-03,28
2023-04,32
2023-05,40
2023-06,31
2023-07,34
2023-08,39
2023-09,29
2023-10,39
2023-11,37
2023-12,35
2024-01,38
2024-02,20
2024-03,32
2024-04,33
2024-05,36
2024-06,44
2024-07,43
2024-08,44
2024-09,41
2024-10,34
2024-11,37
2024-12,38
