Category: All categories

Month,gout: (South Korea)
2014-01,53
2014-02,51
2014-03,79
2014-04,88
2014-05,73
2014-06,65
2014-07,78
2014-08,79
2014-09,91
2014-10,91
2014-11,65
2014-12,62
2015-01,67
2015-02,57
2015-03,84
2015-04,70
2015-05,89
2015-06,77
2015-07,71
2015-08,66
2015-09,65
2015-10,64
2015-11,80
2015-12,72
2016-01,58
2016-02,62
2016-03,65
2016-04,64
2016-05,84
2016-06,82
2016-07,61
2016-08,73
2016-09,68
2016-10,69
2016-11,74
2016-12,85
2017-01,58
2017-02,74
2017-03,87
2017-04,76
2017-05,72
2017-06,90
2017-07,70
2017-08,64
2017-09,64
2017-10,75
2017-11,71
2017-12,49
2018-01,53
2018-02,61
2018-03,69
2018-04,79
2018-05,74
2018-06,94
2018-07,77
2018-08,82
2018-09,74
2018-10,62
2018-11,70
2018-12,66
2019-01,64
2019-02,68
2019-03,85
2019-04,81
2019-05,89
2019-06,82
2019-07,73
2019-08,73
2019-09,61
2019-10,79
2019-11,81
2019-12,79
2020-01,69
2020-02,54
2020-03,55
2020-04,70
2020-05,66
2020-06,75
2020-07,77
2020-08,51
2020-09,49
2020-10,66
2020-11,59
2020-12,42
2021-01,47
2021-02,61
2021-03,65
2021-04,72
2021-05,73
2021-06,78
2021-07,76
2021-08,65
2021-09,59
2021-10,49
2021-11,48
2021-12,63
2022-01,61
2022-02,48
2022-03,56
2022-04,63
2022-05,68
2022-06,69
2022-07,52
2022-08,69
2022-09,62
2022-10,54
2022-11,63
2022-12,66
2023-01,67
2023-02,52
2023-03,67
2023-04,73
2023-05,87
2023-06,98
2023-07,82
2023-08,83
2023-09,93
2023-10,91
2023-11,78
2023-12,82
2024-01,80
2024-02,100
2024-03,93
2024-04,84
2024-05,86
2024-06,97
2024-07,95
2024-08,93
2024-09,77
2024-10,73
2024-11,71
2024-12,51
