Category: All categories

Month,gout: (Lebanon)
2014-01,57
2014-02,51
2014-03,48
2014-04,35
2014-05,45
2014-06,59
2014-07,77
2014-08,31
2014-09,52
2014-10,68
2014-11,77
2014-12,57
2015-01,89
2015-02,54
2015-03,56
2015-04,81
2015-05,39
2015-06,52
2015-07,40
2015-08,51
2015-09,62
2015-10,50
2015-11,64
2015-12,75
2016-01,60
2016-02,58
2016-03,56
2016-04,71
2016-05,57
2016-06,55
2016-07,64
2016-08,53
2016-09,39
2016-10,70
2016-11,71
2016-12,58
2017-01,70
2017-02,54
2017-03,43
2017-04,69
2017-05,59
2017-06,52
2017-07,74
2017-08,59
2017-09,63
2017-10,68
2017-11,70
2017-12,63
2018-01,59
2018-02,78
2018-03,54
2018-04,58
2018-05,68
2018-06,40
2018-07,52
2018-08,38
2018-09,75
2018-10,61
2018-11,59
2018-12,83
2019-01,65
2019-02,67
2019-03,59
2019-04,56
2019-05,72
2019-06,78
2019-07,65
2019-08,67
2019-09,62
2019-10,59
2019-11,51
2019-12,65
2020-01,58
2020-02,62
2020-03,66
2020-04,66
2020-05,97
2020-06,62
2020-07,63
2020-08,70
2020-09,68
2020-10,71
2020-11,64
2020-12,70
2021-01,88
2021-02,100
2021-03,82
2021-04,50
2021-05,80
2021-06,66
2021-07,78
2021-08,81
2021-09,62
2021-10,66
2021-11,55
2021-12,75
2022-01,91
2022-02,63
2022-03,56
2022-04,57
2022-05,52
2022-06,67
2022-07,82
2022-08,78
2022-09,84
2022-10,61
2022-11,53
2022-12,52
2023-01,71
2023-02,54
2023-03,51
2023-04,49
2023-05,74
2023-06,92
2023-07,74
2023-08,65
2023-09,75
2023-10,79
2023-11,52
2023-12,64
2024-01,56
2024-02,65
2024-03,64
2024-04,69
2024-05,64
2024-06,70
2024-07,56
2024-08,74
2024-09,78
2024-10,42
2024-11,78
2024-12,46
