Category: All categories

Month,gout: (Luxembourg)
2014-01,33
2014-02,39
2014-03,48
2014-04,43
2014-05,51
2014-06,0
2014-07,0
2014-08,48
2014-09,43
2014-10,37
2014-11,36
2014-12,48
2015-01,58
2015-02,40
2015-03,37
2015-04,33
2015-05,46
2015-06,36
2015-07,31
2015-08,41
2015-09,50
2015-10,63
2015-11,0
2015-12,62
2016-01,59
2016-02,52
2016-03,52
2016-04,47
2016-05,50
2016-06,46
2016-07,50
2016-08,34
2016-09,48
2016-10,61
2016-11,36
2016-12,62
2017-01,56
2017-02,65
2017-03,34
2017-04,61
2017-05,45
2017-06,59
2017-07,36
2017-08,51
2017-09,46
2017-10,48
2017-11,54
2017-12,76
2018-01,55
2018-02,37
2018-03,47
2018-04,62
2018-05,41
2018-06,51
2018-07,37
2018-08,33
2018-09,49
2018-10,66
2018-11,61
2018-12,47
2019-01,33
2019-02,40
2019-03,61
2019-04,53
2019-05,60
2019-06,42
2019-07,37
2019-08,32
2019-09,64
2019-10,58
2019-11,46
2019-12,63
2020-01,67
2020-02,69
2020-03,73
2020-04,64
2020-05,62
2020-06,50
2020-07,62
2020-08,56
2020-09,55
2020-10,100
2020-11,72
2020-12,88
2021-01,48
2021-02,70
2021-03,45
2021-04,67
2021-05,62
2021-06,29
2021-07,29
2021-08,60
2021-09,55
2021-10,51
2021-11,66
2021-12,67
2022-01,63
2022-02,68
2022-03,77
2022-04,65
2022-05,58
2022-06,75
2022-07,69
2022-08,58
2022-09,79
2022-10,88
2022-11,50
2022-12,91
2023-01,52
2023-02,73
2023-03,77
2023-04,57
2023-05,72
2023-06,87
2023-07,45
2023-08,53
2023-09,64
2023-10,63
2023-11,59
2023-12,88
2024-01,64
2024-02,61
2024-03,71
2024-04,74
2024-05,51
2024-06,59
2024-07,47
2024-08,61
2024-09,76
2024-10,87
2024-11,88
2024-12,62
