Category: All categories

Month,gout: (Mexico)
2014-01,34
2014-02,30
2014-03,32
2014-04,31
2014-05,25
2014-06,28
2014-07,31
2014-08,21
2014-09,25
2014-10,36
2014-11,32
2014-12,35
2015-01,34
2015-02,33
2015-03,37
2015-04,28
2015-05,26
2015-06,24
2015-07,20
2015-08,34
2015-09,26
2015-10,21
2015-11,28
2015-12,37
2016-01,31
2016-02,40
2016-03,33
2016-04,27
2016-05,36
2016-06,26
2016-07,26
2016-08,32
2016-09,25
2016-10,37
2016-11,29
2016-12,30
2017-01,28
2017-02,42
2017-03,49
2017-04,36
2017-05,63
2017-06,42
2017-07,35
2017-08,32
2017-09,29
2017-10,34
2017-11,33
2017-12,35
2018-01,42
2018-02,41
2018-03,43
2018-04,41
2018-05,41
2018-06,46
2018-07,36
2018-08,41
2018-09,37
2018-10,37
2018-11,45
2018-12,49
2019-01,53
2019-02,53
2019-03,44
2019-04,53
2019-05,45
2019-06,43
2019-07,50
2019-08,39
2019-09,46
2019-10,43
2019-11,37
2019-12,48
2020-01,48
2020-02,44
2020-03,38
2020-04,27
2020-05,29
2020-06,35
2020-07,37
2020-08,25
2020-09,25
2020-10,23
2020-11,24
2020-12,29
2021-01,28
2021-02,30
2021-03,29
2021-04,29
2021-05,35
2021-06,30
2021-07,45
2021-08,42
2021-09,31
2021-10,31
2021-11,36
2021-12,35
2022-01,49
2022-02,46
2022-03,36
2022-04,34
2022-05,35
2022-06,41
2022-07,41
2022-08,33
2022-09,30
2022-10,39
2022-11,41
2022-12,40
2023-01,47
2023-02,39
2023-03,40
2023-04,39
2023-05,34
2023-06,32
2023-07,42
2023-08,46
2023-09,28
2023-10,31
2023-11,38
2023-12,42
2024-01,48
2024-02,54
2024-03,47
2024-04,49
2024-05,39
2024-06,38
2024-07,43
2024-08,47
2024-09,32
2024-10,49
2024-11,50
2024-12,100
