Category: All categories

Month,gout: (Malaysia)
2014-01,60
2014-02,68
2014-03,59
2014-04,63
2014-05,63
2014-06,65
2014-07,57
2014-08,61
2014-09,71
2014-10,62
2014-11,67
2014-12,62
2015-01,72
2015-02,80
2015-03,76
2015-04,80
2015-05,80
2015-06,73
2015-07,79
2015-08,84
2015-09,81
2015-10,77
2015-11,75
2015-12,79
2016-01,84
2016-02,86
2016-03,77
2016-04,79
2016-05,76
2016-06,71
2016-07,73
2016-08,75
2016-09,77
2016-10,79
2016-11,71
2016-12,76
2017-01,82
2017-02,84
2017-03,83
2017-04,87
2017-05,82
2017-06,76
2017-07,90
2017-08,80
2017-09,82
2017-10,82
2017-11,79
2017-12,81
2018-01,89
2018-02,91
2018-03,89
2018-04,90
2018-05,75
2018-06,74
2018-07,87
2018-08,86
2018-09,77
2018-10,80
2018-11,87
2018-12,85
2019-01,92
2019-02,91
2019-03,85
2019-04,90
2019-05,82
2019-06,85
2019-07,87
2019-08,82
2019-09,88
2019-10,92
2019-11,92
2019-12,98
2020-01,94
2020-02,89
2020-03,79
2020-04,80
2020-05,83
2020-06,91
2020-07,82
2020-08,88
2020-09,86
2020-10,92
2020-11,96
2020-12,84
2021-01,84
2021-02,89
2021-03,91
2021-04,85
2021-05,78
2021-06,86
2021-07,84
2021-08,75
2021-09,75
2021-10,74
2021-11,75
2021-12,71
2022-01,86
2022-02,87
2022-03,81
2022-04,75
2022-05,84
2022-06,84
2022-07,92
2022-08,96
2022-09,89
2022-10,93
2022-11,90
2022-12,87
2023-01,95
2023-02,100
2023-03,95
2023-04,90
2023-05,97
2023-06,96
2023-07,94
2023-08,95
2023-09,95
2023-10,94
2023-11,96
2023-12,90
2024-01,91
2024-02,91
2024-03,85
2024-04,86
2024-05,93
2024-06,85
2024-07,87
2024-08,89
2024-09,87
2024-10,91
2024-11,93
2024-12,96
