Category: All categories

Month,gout: (Netherlands)
2014-01,43
2014-02,37
2014-03,36
2014-04,69
2014-05,48
2014-06,42
2014-07,51
2014-08,46
2014-09,59
2014-10,55
2014-11,45
2014-12,45
2015-01,51
2015-02,50
2015-03,43
2015-04,48
2015-05,47
2015-06,50
2015-07,42
2015-08,40
2015-09,35
2015-10,39
2015-11,40
2015-12,46
2016-01,48
2016-02,46
2016-03,39
2016-04,48
2016-05,38
2016-06,44
2016-07,46
2016-08,51
2016-09,44
2016-10,45
2016-11,44
2016-12,44
2017-01,32
2017-02,45
2017-03,41
2017-04,42
2017-05,39
2017-06,36
2017-07,44
2017-08,45
2017-09,38
2017-10,38
2017-11,42
2017-12,34
2018-01,35
2018-02,38
2018-03,40
2018-04,42
2018-05,40
2018-06,40
2018-07,40
2018-08,42
2018-09,39
2018-10,43
2018-11,34
2018-12,37
2019-01,43
2019-02,51
2019-03,42
2019-04,39
2019-05,41
2019-06,42
2019-07,37
2019-08,39
2019-09,44
2019-10,41
2019-11,33
2019-12,40
2020-01,46
2020-02,41
2020-03,32
2020-04,35
2020-05,42
2020-06,44
2020-07,45
2020-08,43
2020-09,42
2020-10,38
2020-11,40
2020-12,45
2021-01,38
2021-02,32
2021-03,34
2021-04,35
2021-05,38
2021-06,34
2021-07,40
2021-08,51
2021-09,35
2021-10,40
2021-11,39
2021-12,39
2022-01,41
2022-02,40
2022-03,40
2022-04,39
2022-05,46
2022-06,47
2022-07,47
2022-08,43
2022-09,43
2022-10,47
2022-11,43
2022-12,51
2023-01,43
2023-02,46
2023-03,43
2023-04,45
2023-05,44
2023-06,80
2023-07,64
2023-08,60
2023-09,48
2023-10,42
2023-11,46
2023-12,49
2024-01,47
2024-02,51
2024-03,51
2024-04,49
2024-05,52
2024-06,51
2024-07,50
2024-08,54
2024-09,55
2024-10,49
2024-11,51
2024-12,100
