Category: All categories

Month,gout: (Norway)
2014-01,40
2014-02,36
2014-03,39
2014-04,44
2014-05,37
2014-06,41
2014-07,43
2014-08,30
2014-09,41
2014-10,52
2014-11,33
2014-12,45
2015-01,40
2015-02,43
2015-03,39
2015-04,40
2015-05,36
2015-06,38
2015-07,48
2015-08,50
2015-09,41
2015-10,27
2015-11,36
2015-12,66
2016-01,29
2016-02,29
2016-03,18
2016-04,42
2016-05,39
2016-06,32
2016-07,35
2016-08,39
2016-09,40
2016-10,32
2016-11,42
2016-12,31
2017-01,31
2017-02,28
2017-03,38
2017-04,54
2017-05,32
2017-06,0
2017-07,38
2017-08,37
2017-09,41
2017-10,37
2017-11,32
2017-12,38
2018-01,40
2018-02,38
2018-03,50
2018-04,35
2018-05,32
2018-06,52
2018-07,60
2018-08,44
2018-09,32
2018-10,37
2018-11,49
2018-12,46
2019-01,58
2019-02,61
2019-03,58
2019-04,60
2019-05,56
2019-06,47
2019-07,50
2019-08,35
2019-09,42
2019-10,47
2019-11,46
2019-12,46
2020-01,50
2020-02,43
2020-03,29
2020-04,31
2020-05,42
2020-06,45
2020-07,56
2020-08,41
2020-09,46
2020-10,43
2020-11,50
2020-12,37
2021-01,38
2021-02,41
2021-03,41
2021-04,43
2021-05,31
2021-06,40
2021-07,41
2021-08,42
2021-09,44
2021-10,43
2021-11,30
2021-12,36
2022-01,39
2022-02,42
2022-03,45
2022-04,45
2022-05,31
2022-06,73
2022-07,50
2022-08,61
2022-09,57
2022-10,54
2022-11,44
2022-12,51
2023-01,50
2023-02,51
2023-03,39
2023-04,44
2023-05,49
2023-06,40
2023-07,52
2023-08,60
2023-09,36
2023-10,55
2023-11,47
2023-12,58
2024-01,43
2024-02,59
2024-03,55
2024-04,51
2024-05,52
2024-06,58
2024-07,55
2024-08,61
2024-09,65
2024-10,51
2024-11,69
2024-12,100
