Category: All categories

Month,gout: (Philippines)
2014-01,37
2014-02,38
2014-03,42
2014-04,41
2014-05,43
2014-06,39
2014-07,48
2014-08,44
2014-09,46
2014-10,45
2014-11,43
2014-12,40
2015-01,43
2015-02,43
2015-03,56
2015-04,50
2015-05,46
2015-06,43
2015-07,48
2015-08,47
2015-09,56
2015-10,43
2015-11,48
2015-12,42
2016-01,50
2016-02,49
2016-03,50
2016-04,44
2016-05,49
2016-06,48
2016-07,50
2016-08,48
2016-09,50
2016-10,48
2016-11,50
2016-12,44
2017-01,51
2017-02,54
2017-03,56
2017-04,56
2017-05,55
2017-06,54
2017-07,60
2017-08,68
2017-09,64
2017-10,61
2017-11,66
2017-12,56
2018-01,67
2018-02,63
2018-03,74
2018-04,67
2018-05,64
2018-06,61
2018-07,61
2018-08,67
2018-09,63
2018-10,64
2018-11,62
2018-12,60
2019-01,70
2019-02,88
2019-03,73
2019-04,74
2019-05,95
2019-06,77
2019-07,78
2019-08,82
2019-09,73
2019-10,77
2019-11,79
2019-12,73
2020-01,81
2020-02,80
2020-03,77
2020-04,96
2020-05,94
2020-06,85
2020-07,84
2020-08,88
2020-09,72
2020-10,63
2020-11,67
2020-12,69
2021-01,69
2021-02,74
2021-03,75
2021-04,75
2021-05,71
2021-06,73
2021-07,81
2021-08,78
2021-09,61
2021-10,57
2021-11,58
2021-12,61
2022-01,68
2022-02,64
2022-03,67
2022-04,73
2022-05,78
2022-06,82
2022-07,94
2022-08,92
2022-09,78
2022-10,83
2022-11,93
2022-12,83
2023-01,96
2023-02,88
2023-03,96
2023-04,93
2023-05,92
2023-06,94
2023-07,92
2023-08,92
2023-09,86
2023-10,91
2023-11,85
2023-12,88
2024-01,91
2024-02,93
2024-03,93
2024-04,89
2024-05,93
2024-06,97
2024-07,95
2024-08,96
2024-09,90
2024-10,93
2024-11,93
2024-12,100
