Category: All categories

Month,gout: (Poland)
2014-01,22
2014-02,18
2014-03,22
2014-04,31
2014-05,17
2014-06,22
2014-07,20
2014-08,19
2014-09,23
2014-10,19
2014-11,20
2014-12,28
2015-01,23
2015-02,20
2015-03,20
2015-04,21
2015-05,25
2015-06,29
2015-07,26
2015-08,32
2015-09,23
2015-10,23
2015-11,20
2015-12,28
2016-01,22
2016-02,14
2016-03,27
2016-04,24
2016-05,33
2016-06,26
2016-07,28
2016-08,23
2016-09,28
2016-10,29
2016-11,23
2016-12,29
2017-01,24
2017-02,28
2017-03,30
2017-04,26
2017-05,22
2017-06,22
2017-07,26
2017-08,18
2017-09,18
2017-10,22
2017-11,23
2017-12,43
2018-01,26
2018-02,17
2018-03,30
2018-04,25
2018-05,33
2018-06,24
2018-07,16
2018-08,26
2018-09,18
2018-10,16
2018-11,26
2018-12,30
2019-01,29
2019-02,40
2019-03,38
2019-04,26
2019-05,27
2019-06,34
2019-07,27
2019-08,31
2019-09,24
2019-10,23
2019-11,23
2019-12,34
2020-01,34
2020-02,28
2020-03,27
2020-04,18
2020-05,31
2020-06,26
2020-07,29
2020-08,26
2020-09,34
2020-10,27
2020-11,27
2020-12,29
2021-01,23
2021-02,27
2021-03,30
2021-04,29
2021-05,25
2021-06,17
2021-07,22
2021-08,24
2021-09,27
2021-10,23
2021-11,24
2021-12,15
2022-01,34
2022-02,33
2022-03,33
2022-04,28
2022-05,37
2022-06,40
2022-07,25
2022-08,33
2022-09,35
2022-10,34
2022-11,32
2022-12,32
2023-01,29
2023-02,27
2023-03,34
2023-04,36
2023-05,30
2023-06,40
2023-07,30
2023-08,51
2023-09,38
2023-10,41
2023-11,37
2023-12,34
2024-01,43
2024-02,43
2024-03,43
2024-04,40
2024-05,52
2024-06,49
2024-07,49
2024-08,49
2024-09,43
2024-10,43
2024-11,43
2024-12,100
