Category: All categories

Month,gout: (Sweden)
2014-01,37
2014-02,31
2014-03,27
2014-04,31
2014-05,31
2014-06,20
2014-07,45
2014-08,27
2014-09,31
2014-10,27
2014-11,21
2014-12,49
2015-01,49
2015-02,25
2015-03,31
2015-04,34
2015-05,35
2015-06,23
2015-07,30
2015-08,30
2015-09,19
2015-10,28
2015-11,35
2015-12,33
2016-01,39
2016-02,34
2016-03,35
2016-04,41
2016-05,35
2016-06,38
2016-07,33
2016-08,32
2016-09,35
2016-10,27
2016-11,31
2016-12,30
2017-01,32
2017-02,31
2017-03,30
2017-04,36
2017-05,27
2017-06,31
2017-07,24
2017-08,31
2017-09,29
2017-10,39
2017-11,39
2017-12,32
2018-01,26
2018-02,31
2018-03,32
2018-04,29
2018-05,40
2018-06,40
2018-07,39
2018-08,30
2018-09,36
2018-10,40
2018-11,40
2018-12,39
2019-01,42
2019-02,47
2019-03,38
2019-04,34
2019-05,27
2019-06,32
2019-07,37
2019-08,24
2019-09,47
2019-10,31
2019-11,35
2019-12,37
2020-01,30
2020-02,48
2020-03,30
2020-04,32
2020-05,40
2020-06,43
2020-07,45
2020-08,42
2020-09,30
2020-10,30
2020-11,38
2020-12,34
2021-01,46
2021-02,38
2021-03,44
2021-04,36
2021-05,42
2021-06,44
2021-07,38
2021-08,40
2021-09,43
2021-10,39
2021-11,35
2021-12,40
2022-01,34
2022-02,42
2022-03,40
2022-04,43
2022-05,52
2022-06,53
2022-07,56
2022-08,54
2022-09,43
2022-10,53
2022-11,41
2022-12,53
2023-01,42
2023-02,31
2023-03,43
2023-04,52
2023-05,50
2023-06,48
2023-07,45
2023-08,71
2023-09,49
2023-10,49
2023-11,52
2023-12,62
2024-01,50
2024-02,61
2024-03,50
2024-04,49
2024-05,51
2024-06,63
2024-07,55
2024-08,87
2024-09,67
2024-10,57
2024-11,57
2024-12,100
