Category: All categories

Month,gout: (Singapore)
2014-01,62
2014-02,68
2014-03,65
2014-04,70
2014-05,71
2014-06,68
2014-07,73
2014-08,66
2014-09,74
2014-10,76
2014-11,70
2014-12,61
2015-01,68
2015-02,73
2015-03,67
2015-04,71
2015-05,80
2015-06,73
2015-07,66
2015-08,70
2015-09,69
2015-10,65
2015-11,63
2015-12,68
2016-01,73
2016-02,78
2016-03,68
2016-04,72
2016-05,69
2016-06,67
2016-07,73
2016-08,67
2016-09,76
2016-10,68
2016-11,70
2016-12,64
2017-01,71
2017-02,68
2017-03,66
2017-04,68
2017-05,74
2017-06,75
2017-07,88
2017-08,79
2017-09,79
2017-10,76
2017-11,75
2017-12,77
2018-01,82
2018-02,89
2018-03,71
2018-04,82
2018-05,73
2018-06,74
2018-07,84
2018-08,71
2018-09,73
2018-10,78
2018-11,72
2018-12,75
2019-01,76
2019-02,72
2019-03,81
2019-04,74
2019-05,72
2019-06,76
2019-07,78
2019-08,96
2019-09,77
2019-10,79
2019-11,74
2019-12,79
2020-01,79
2020-02,68
2020-03,78
2020-04,62
2020-05,87
2020-06,87
2020-07,89
2020-08,89
2020-09,85
2020-10,83
2020-11,83
2020-12,74
2021-01,81
2021-02,87
2021-03,96
2021-04,99
2021-05,78
2021-06,99
2021-07,84
2021-08,81
2021-09,73
2021-10,72
2021-11,73
2021-12,76
2022-01,83
2022-02,81
2022-03,79
2022-04,79
2022-05,85
2022-06,83
2022-07,86
2022-08,87
2022-09,86
2022-10,84
2022-11,86
2022-12,79
2023-01,91
2023-02,82
2023-03,88
2023-04,97
2023-05,100
2023-06,92
2023-07,100
2023-08,94
2023-09,92
2023-10,93
2023-11,90
2023-12,85
2024-01,94
2024-02,95
2024-03,85
2024-04,88
2024-05,91
2024-06,91
2024-07,86
2024-08,86
2024-09,92
2024-10,83
2024-11,82
2024-12,98
