Category: All categories

Month,gout: (Ukraine)
2014-01,0
2014-02,44
2014-03,25
2014-04,43
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,26
2014-11,0
2014-12,0
2015-01,30
2015-02,28
2015-03,40
2015-04,35
2015-05,0
2015-06,32
2015-07,33
2015-08,0
2015-09,0
2015-10,44
2015-11,36
2015-12,35
2016-01,0
2016-02,38
2016-03,27
2016-04,46
2016-05,26
2016-06,30
2016-07,26
2016-08,0
2016-09,26
2016-10,25
2016-11,35
2016-12,32
2017-01,30
2017-02,29
2017-03,51
2017-04,60
2017-05,43
2017-06,41
2017-07,30
2017-08,0
2017-09,43
2017-10,22
2017-11,41
2017-12,0
2018-01,24
2018-02,26
2018-03,46
2018-04,45
2018-05,51
2018-06,58
2018-07,37
2018-08,46
2018-09,85
2018-10,29
2018-11,56
2018-12,67
2019-01,61
2019-02,66
2019-03,100
2019-04,74
2019-05,82
2019-06,51
2019-07,58
2019-08,19
2019-09,48
2019-10,44
2019-11,56
2019-12,72
2020-01,61
2020-02,47
2020-03,61
2020-04,69
2020-05,55
2020-06,46
2020-07,33
2020-08,37
2020-09,43
2020-10,53
2020-11,49
2020-12,38
2021-01,30
2021-02,40
2021-03,52
2021-04,64
2021-05,70
2021-06,51
2021-07,29
2021-08,31
2021-09,45
2021-10,55
2021-11,59
2021-12,56
2022-01,52
2022-02,38
2022-03,0
2022-04,29
2022-05,33
2022-06,25
2022-07,31
2022-08,20
2022-09,36
2022-10,28
2022-11,33
2022-12,36
2023-01,37
2023-02,37
2023-03,37
2023-04,34
2023-05,48
2023-06,28
2023-07,30
2023-08,36
2023-09,29
2023-10,33
2023-11,26
2023-12,27
2024-01,31
2024-02,36
2024-03,28
2024-04,43
2024-05,35
2024-06,24
2024-07,35
2024-08,30
2024-09,28
2024-10,20
2024-11,49
2024-12,43
