Category: All categories

Month,gout: (Vietnam)
2014-01,21
2014-02,27
2014-03,29
2014-04,31
2014-05,30
2014-06,30
2014-07,33
2014-08,33
2014-09,35
2014-10,36
2014-11,47
2014-12,29
2015-01,25
2015-02,24
2015-03,31
2015-04,35
2015-05,35
2015-06,36
2015-07,31
2015-08,36
2015-09,36
2015-10,33
2015-11,32
2015-12,29
2016-01,26
2016-02,26
2016-03,30
2016-04,33
2016-05,31
2016-06,29
2016-07,31
2016-08,31
2016-09,34
2016-10,38
2016-11,34
2016-12,33
2017-01,27
2017-02,34
2017-03,35
2017-04,36
2017-05,40
2017-06,35
2017-07,39
2017-08,36
2017-09,41
2017-10,35
2017-11,36
2017-12,38
2018-01,34
2018-02,33
2018-03,40
2018-04,43
2018-05,49
2018-06,41
2018-07,44
2018-08,44
2018-09,48
2018-10,48
2018-11,45
2018-12,45
2019-01,39
2019-02,49
2019-03,53
2019-04,55
2019-05,57
2019-06,63
2019-07,66
2019-08,62
2019-09,61
2019-10,60
2019-11,57
2019-12,49
2020-01,44
2020-02,47
2020-03,50
2020-04,62
2020-05,69
2020-06,70
2020-07,72
2020-08,67
2020-09,70
2020-10,63
2020-11,64
2020-12,55
2021-01,58
2021-02,53
2021-03,68
2021-04,72
2021-05,67
2021-06,67
2021-07,65
2021-08,66
2021-09,60
2021-10,53
2021-11,48
2021-12,43
2022-01,49
2022-02,52
2022-03,54
2022-04,61
2022-05,66
2022-06,75
2022-07,77
2022-08,75
2022-09,82
2022-10,69
2022-11,73
2022-12,63
2023-01,63
2023-02,79
2023-03,82
2023-04,87
2023-05,89
2023-06,92
2023-07,93
2023-08,94
2023-09,88
2023-10,82
2023-11,82
2023-12,77
2024-01,82
2024-02,75
2024-03,87
2024-04,93
2024-05,94
2024-06,99
2024-07,96
2024-08,100
2024-09,95
2024-10,97
2024-11,99
2024-12,86
