Category: All categories

Month,gout: (South Africa)
2014-01,73
2014-02,64
2014-03,54
2014-04,64
2014-05,70
2014-06,54
2014-07,55
2014-08,62
2014-09,63
2014-10,73
2014-11,68
2014-12,78
2015-01,80
2015-02,70
2015-03,70
2015-04,71
2015-05,73
2015-06,71
2015-07,64
2015-08,72
2015-09,75
2015-10,76
2015-11,80
2015-12,82
2016-01,75
2016-02,67
2016-03,61
2016-04,63
2016-05,59
2016-06,57
2016-07,61
2016-08,56
2016-09,69
2016-10,73
2016-11,69
2016-12,77
2017-01,76
2017-02,68
2017-03,68
2017-04,66
2017-05,62
2017-06,60
2017-07,66
2017-08,67
2017-09,72
2017-10,84
2017-11,83
2017-12,85
2018-01,88
2018-02,81
2018-03,82
2018-04,78
2018-05,68
2018-06,69
2018-07,73
2018-08,67
2018-09,70
2018-10,90
2018-11,84
2018-12,95
2019-01,98
2019-02,87
2019-03,82
2019-04,75
2019-05,77
2019-06,64
2019-07,74
2019-08,74
2019-09,76
2019-10,87
2019-11,90
2019-12,92
2020-01,100
2020-02,89
2020-03,69
2020-04,89
2020-05,73
2020-06,69
2020-07,96
2020-08,64
2020-09,70
2020-10,69
2020-11,75
2020-12,81
2021-01,86
2021-02,80
2021-03,72
2021-04,70
2021-05,69
2021-06,60
2021-07,62
2021-08,65
2021-09,68
2021-10,71
2021-11,75
2021-12,77
2022-01,97
2022-02,75
2022-03,74
2022-04,70
2022-05,76
2022-06,68
2022-07,71
2022-08,75
2022-09,78
2022-10,91
2022-11,83
2022-12,88
2023-01,93
2023-02,83
2023-03,93
2023-04,75
2023-05,72
2023-06,69
2023-07,65
2023-08,72
2023-09,72
2023-10,78
2023-11,80
2023-12,83
2024-01,92
2024-02,79
2024-03,77
2024-04,69
2024-05,65
2024-06,58
2024-07,66
2024-08,69
2024-09,66
2024-10,71
2024-11,79
2024-12,92
