Category: All categories

Month,gota: (Argentina)
2014-01,64
2014-02,62
2014-03,58
2014-04,58
2014-05,59
2014-06,57
2014-07,57
2014-08,65
2014-09,64
2014-10,63
2014-11,65
2014-12,61
2015-01,58
2015-02,57
2015-03,59
2015-04,58
2015-05,61
2015-06,78
2015-07,55
2015-08,60
2015-09,58
2015-10,61
2015-11,63
2015-12,57
2016-01,58
2016-02,56
2016-03,56
2016-04,55
2016-05,60
2016-06,56
2016-07,59
2016-08,64
2016-09,63
2016-10,64
2016-11,70
2016-12,66
2017-01,60
2017-02,61
2017-03,58
2017-04,57
2017-05,57
2017-06,65
2017-07,63
2017-08,61
2017-09,67
2017-10,68
2017-11,70
2017-12,73
2018-01,68
2018-02,81
2018-03,66
2018-04,65
2018-05,70
2018-06,63
2018-07,61
2018-08,68
2018-09,64
2018-10,70
2018-11,70
2018-12,61
2019-01,64
2019-02,76
2019-03,66
2019-04,63
2019-05,62
2019-06,65
2019-07,64
2019-08,64
2019-09,80
2019-10,69
2019-11,73
2019-12,65
2020-01,70
2020-02,64
2020-03,73
2020-04,65
2020-05,67
2020-06,70
2020-07,70
2020-08,68
2020-09,68
2020-10,71
2020-11,71
2020-12,71
2021-01,67
2021-02,73
2021-03,67
2021-04,65
2021-05,66
2021-06,66
2021-07,62
2021-08,68
2021-09,66
2021-10,71
2021-11,63
2021-12,69
2022-01,73
2022-02,74
2022-03,76
2022-04,77
2022-05,74
2022-06,74
2022-07,80
2022-08,92
2022-09,85
2022-10,90
2022-11,86
2022-12,75
2023-01,81
2023-02,82
2023-03,80
2023-04,79
2023-05,82
2023-06,87
2023-07,76
2023-08,77
2023-09,84
2023-10,78
2023-11,78
2023-12,86
2024-01,93
2024-02,92
2024-03,93
2024-04,85
2024-05,85
2024-06,90
2024-07,82
2024-08,85
2024-09,96
2024-10,100
2024-11,96
2024-12,94
