Category: All categories

Month,gota: (Austria)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,40
2014-07,39
2014-08,41
2014-09,0
2014-10,28
2014-11,41
2014-12,0
2015-01,0
2015-02,0
2015-03,31
2015-04,0
2015-05,29
2015-06,0
2015-07,0
2015-08,29
2015-09,0
2015-10,0
2015-11,31
2015-12,32
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,43
2016-12,0
2017-01,0
2017-02,50
2017-03,58
2017-04,61
2017-05,46
2017-06,51
2017-07,34
2017-08,41
2017-09,70
2017-10,50
2017-11,58
2017-12,49
2018-01,53
2018-02,53
2018-03,61
2018-04,54
2018-05,55
2018-06,26
2018-07,59
2018-08,30
2018-09,39
2018-10,45
2018-11,42
2018-12,36
2019-01,36
2019-02,62
2019-03,54
2019-04,56
2019-05,30
2019-06,34
2019-07,36
2019-08,46
2019-09,63
2019-10,51
2019-11,43
2019-12,68
2020-01,57
2020-02,48
2020-03,32
2020-04,45
2020-05,50
2020-06,38
2020-07,39
2020-08,93
2020-09,80
2020-10,77
2020-11,60
2020-12,39
2021-01,65
2021-02,67
2021-03,62
2021-04,56
2021-05,66
2021-06,52
2021-07,31
2021-08,42
2021-09,60
2021-10,74
2021-11,70
2021-12,56
2022-01,70
2022-02,100
2022-03,97
2022-04,93
2022-05,62
2022-06,64
2022-07,71
2022-08,55
2022-09,60
2022-10,89
2022-11,69
2022-12,67
2023-01,72
2023-02,60
2023-03,93
2023-04,81
2023-05,57
2023-06,62
2023-07,89
2023-08,64
2023-09,81
2023-10,82
2023-11,41
2023-12,46
2024-01,60
2024-02,69
2024-03,69
2024-04,98
2024-05,91
2024-06,46
2024-07,51
2024-08,72
2024-09,84
2024-10,85
2024-11,91
2024-12,99
